ac,eng,mass,distance,fuel,time
a20n,CFM56-5-A1,53160,661,1560,55
a20n,CFM56-5-A1,53160,1122,2610,88
a20n,CFM56-5-A1,53160,1584,3650,121
a20n,CFM56-5-A1,53160,2045,4690,154
a20n,CFM56-5-A1,53160,2506,5710,187
a20n,CFM56-5-A1,53160,2968,6720,221
a20n,CFM56-5-A1,53160,3429,7730,255
a20n,CFM56-5-A1,53160,3890,8730,289
a20n,CFM56-5-A1,54480,1122,2630,88
a20n,CFM56-5-A1,54480,1584,3690,120
a20n,CFM56-5-A1,54480,2045,4740,154
a20n,CFM56-5-A1,54480,2506,5770,187
a20n,CFM56-5-A1,54480,2968,6800,220
a20n,CFM56-5-A1,54480,3429,7820,255
a20n,CFM56-5-A1,54480,3890,8820,289
a20n,CFM56-5-A1,54480,4352,9810,324
a20n,CFM56-5-A1,55800,1122,2660,87
a20n,CFM56-5-A1,55800,1584,3730,120
a20n,CFM56-5-A1,55800,2045,4790,154
a20n,CFM56-5-A1,55800,2506,5840,187
a20n,CFM56-5-A1,55800,2968,6890,220
a20n,CFM56-5-A1,55800,3429,7910,255
a20n,CFM56-5-A1,55800,3890,8920,289
a20n,CFM56-5-A1,55800,4352,9920,323
a20n,CFM56-5-A1,57120,1122,2690,87
a20n,CFM56-5-A1,57120,1584,3770,120
a20n,CFM56-5-A1,57120,2045,4840,153
a20n,CFM56-5-A1,57120,2506,5900,187
a20n,CFM56-5-A1,57120,2968,6980,220
a20n,CFM56-5-A1,57120,3429,8000,255
a20n,CFM56-5-A1,57120,3890,9020,289
a20n,CFM56-5-A1,57120,4352,10040,323
a20n,CFM56-5-A1,58430,1122,2720,87
a20n,CFM56-5-A1,58430,1584,3810,120
a20n,CFM56-5-A1,58430,2045,4890,153
a20n,CFM56-5-A1,58430,2506,5970,187
a20n,CFM56-5-A1,58430,2968,7060,220
a20n,CFM56-5-A1,58430,3429,8090,254
a20n,CFM56-5-A1,58430,3890,9120,289
a20n,CFM56-5-A1,58430,4352,10160,323
a20n,CFM56-5-A1,59750,1122,2750,86
a20n,CFM56-5-A1,59750,1584,3860,119
a20n,CFM56-5-A1,59750,2045,4950,154
a20n,CFM56-5-A1,59750,2506,6050,186
a20n,CFM56-5-A1,59750,2968,7140,220
a20n,CFM56-5-A1,59750,3429,8180,254
a20n,CFM56-5-A1,59750,3890,9230,289
a20n,CFM56-5-A1,59750,4352,10310,323
a20n,CFM56-5-A1,61070,1122,2780,86
a20n,CFM56-5-A1,61070,1584,3900,119
a20n,CFM56-5-A1,61070,2045,5010,153
a20n,CFM56-5-A1,61070,2506,6130,186
a20n,CFM56-5-A1,61070,2968,7220,220
a20n,CFM56-5-A1,61070,3429,8270,253
a20n,CFM56-5-A1,61070,3890,9330,288
a20n,CFM56-5-A1,61070,4352,10470,322
a20n,CFM56-5-A1,62390,1122,2800,86
a20n,CFM56-5-A1,62390,1584,3930,119
a20n,CFM56-5-A1,62390,2045,5070,153
a20n,CFM56-5-A1,62390,2506,6220,186
a20n,CFM56-5-A1,62390,2968,7290,219
a20n,CFM56-5-A1,62390,3429,8360,253
a20n,CFM56-5-A1,62390,3890,9440,287
a20n,CFM56-5-A1,62390,4352,10640,322
a20n,CFM56-5-A1,63710,1584,3970,119
a20n,CFM56-5-A1,63710,2045,5120,152
a20n,CFM56-5-A1,63710,2506,6250,186
a20n,CFM56-5-A1,63710,2968,7330,219
a20n,CFM56-5-A1,63710,3429,8430,252
a20n,CFM56-5-A1,63710,3890,9580,287
a20n,CFM56-5-A1,63710,4352,10840,321
a20n,CFM56-5-A1,65030,1584,4020,119
a20n,CFM56-5-A1,65030,2045,5180,152
a20n,CFM56-5-A1,65030,2506,6300,185
a20n,CFM56-5-A1,65030,2968,7390,218
a20n,CFM56-5-A1,65030,3429,8490,251
a20n,CFM56-5-A1,65030,3890,9660,286
a20n,CFM56-5-A1,65030,4352,11000,320
a20n,CFM56-5-A1,66340,1584,4060,119
a20n,CFM56-5-A1,66340,2045,5250,151
a20n,CFM56-5-A1,66340,2506,6350,185
a20n,CFM56-5-A1,66340,2968,7450,218
a20n,CFM56-5-A1,66340,3429,8560,251
a20n,CFM56-5-A1,66340,3890,9780,285
a20n,CFM56-5-A1,66340,4352,11070,319
a20n,CFM56-5-A1,67660,1584,4120,119
a20n,CFM56-5-A1,67660,2045,5290,151
a20n,CFM56-5-A1,67660,2506,6400,184
a20n,CFM56-5-A1,67660,2968,7520,217
a20n,CFM56-5-A1,67660,3429,8620,251
a20n,CFM56-5-A1,67660,3890,9900,285
a20n,CFM56-5-A1,67660,4352,11230,319
a20n,CFM56-5-A1,68980,1584,4170,119
a20n,CFM56-5-A1,68980,2045,5340,151
a20n,CFM56-5-A1,68980,2506,6450,184
a20n,CFM56-5-A1,68980,2968,7570,217
a20n,CFM56-5-A1,68980,3429,8730,251
a20n,CFM56-5-A1,68980,3890,10030,284
a20n,CFM56-5-A1,68980,4352,11390,318
a20n,CFM56-5-A1,70300,2045,5380,151
a20n,CFM56-5-A1,70300,2506,6500,183
a20n,CFM56-5-A1,70300,2968,7630,217
a20n,CFM56-5-A1,70300,3429,8830,251
a20n,CFM56-5-A1,70300,3890,10170,284
a20n,CFM56-5-A1,70300,4352,11560,318
a20n,CFM56-5-A1,71620,2506,6550,183
a20n,CFM56-5-A1,71620,2968,7690,216
a20n,CFM56-5-A1,71620,3429,8930,250
a20n,CFM56-5-A1,71620,3890,10300,283
a20n,CFM56-5-A1,71620,4352,11730,317
a20n,CFM56-5-A1,72940,2968,7750,216
a20n,CFM56-5-A1,72940,3429,9030,250
a20n,CFM56-5-A1,72940,3890,10440,283
a20n,CFM56-5-A1,72940,4352,11890,316
a20n,CFM56-5-A1,74250,3429,9140,249
a20n,CFM56-5-A1,74250,3890,10580,282
a20n,CFM56-5-A1,74250,4352,12020,316
a20n,CFM56-5-A1,75570,3890,10720,281
a20n,CFM56-5-A1,75570,4352,12170,315
a20n,CFM56-5-A1,76890,4352,12310,314
a20n,CFM56-5-A1,53160,661,1560,55
a20n,CFM56-5-A1,53160,1122,2610,88
a20n,CFM56-5-A1,53160,1584,3650,121
a20n,CFM56-5-A1,53160,2045,4690,154
a20n,CFM56-5-A1,53160,2506,5710,187
a20n,CFM56-5-A1,53160,2968,6720,221
a20n,CFM56-5-A1,53160,3429,7730,255
a20n,CFM56-5-A1,53160,3890,8730,289
a20n,CFM56-5-A1,54480,1122,2630,88
a20n,CFM56-5-A1,54480,1584,3690,120
a20n,CFM56-5-A1,54480,2045,4740,154
a20n,CFM56-5-A1,54480,2506,5770,187
a20n,CFM56-5-A1,54480,2968,6800,220
a20n,CFM56-5-A1,54480,3429,7820,255
a20n,CFM56-5-A1,54480,3890,8820,289
a20n,CFM56-5-A1,54480,4352,9810,324
a20n,CFM56-5-A1,55800,1122,2660,87
a20n,CFM56-5-A1,55800,1584,3730,120
