ac,eng,mass,distance,fuel
a21n,CFM56-5-A1,60000,1122,2770
a21n,CFM56-5-A1,60000,1584,3880
a21n,CFM56-5-A1,60000,2045,4990
a21n,CFM56-5-A1,60000,2506,6090
a21n,CFM56-5-A1,60000,2968,7200
a21n,CFM56-5-A1,60000,3429,8250
a21n,CFM56-5-A1,60000,3890,9300
a21n,CFM56-5-A1,61900,1122,2820
a21n,CFM56-5-A1,61900,1584,3950
a21n,CFM56-5-A1,61900,2045,5080
a21n,CFM56-5-A1,61900,2506,6200
a21n,CFM56-5-A1,61900,2968,7320
a21n,CFM56-5-A1,61900,3429,8380
a21n,CFM56-5-A1,61900,3890,9450
a21n,CFM56-5-A1,61900,4352,10570
a21n,CFM56-5-A1,63790,1122,2850
a21n,CFM56-5-A1,63790,1584,4000
a21n,CFM56-5-A1,63790,2045,5150
a21n,CFM56-5-A1,63790,2506,6310
a21n,CFM56-5-A1,63790,2968,7420
a21n,CFM56-5-A1,63790,3429,8510
a21n,CFM56-5-A1,63790,3890,9610
a21n,CFM56-5-A1,63790,4352,10810
a21n,CFM56-5-A1,65690,1122,2890
a21n,CFM56-5-A1,65690,1584,4060
a21n,CFM56-5-A1,65690,2045,5230
a21n,CFM56-5-A1,65690,2506,6390
a21n,CFM56-5-A1,65690,2968,7500
a21n,CFM56-5-A1,65690,3429,8630
a21n,CFM56-5-A1,65690,3890,9800
a21n,CFM56-5-A1,65690,4352,11080
a21n,CFM56-5-A1,67590,1122,2920
a21n,CFM56-5-A1,67590,1584,4120
a21n,CFM56-5-A1,67590,2045,5320
a21n,CFM56-5-A1,67590,2506,6470
a21n,CFM56-5-A1,67590,2968,7590
a21n,CFM56-5-A1,67590,3429,8710
a21n,CFM56-5-A1,67590,3890,9930
a21n,CFM56-5-A1,67590,4352,11320
a21n,CFM56-5-A1,69480,1584,4190
a21n,CFM56-5-A1,69480,2045,5410
a21n,CFM56-5-A1,69480,2506,6540
a21n,CFM56-5-A1,69480,2968,7680
a21n,CFM56-5-A1,69480,3429,8810
a21n,CFM56-5-A1,69480,3890,10110
a21n,CFM56-5-A1,69480,4352,11460
a21n,CFM56-5-A1,71380,1584,4270
a21n,CFM56-5-A1,71380,2045,5470
a21n,CFM56-5-A1,71380,2506,6610
a21n,CFM56-5-A1,71380,2968,7760
a21n,CFM56-5-A1,71380,3429,8960
a21n,CFM56-5-A1,71380,3890,10300
a21n,CFM56-5-A1,71380,4352,11700
a21n,CFM56-5-A1,73270,1584,4320
a21n,CFM56-5-A1,73270,2045,5530
a21n,CFM56-5-A1,73270,2506,6690
a21n,CFM56-5-A1,73270,2968,7850
a21n,CFM56-5-A1,73270,3429,9100
a21n,CFM56-5-A1,73270,3890,10490
a21n,CFM56-5-A1,73270,4352,11940
a21n,CFM56-5-A1,75170,1584,4360
a21n,CFM56-5-A1,75170,2045,5590
a21n,CFM56-5-A1,75170,2506,6760
a21n,CFM56-5-A1,75170,2968,7930
a21n,CFM56-5-A1,75170,3429,9260
a21n,CFM56-5-A1,75170,3890,10690
a21n,CFM56-5-A1,75170,4352,12180
a21n,CFM56-5-A1,77070,1584,4530
a21n,CFM56-5-A1,77070,2045,5650
a21n,CFM56-5-A1,77070,2506,6830
a21n,CFM56-5-A1,77070,2968,8010
a21n,CFM56-5-A1,77070,3429,9420
a21n,CFM56-5-A1,77070,3890,10900
a21n,CFM56-5-A1,77070,4352,12380
a21n,CFM56-5-A1,78960,1584,4440
a21n,CFM56-5-A1,78960,2045,5710
a21n,CFM56-5-A1,78960,2506,6910
a21n,CFM56-5-A1,78960,2968,8130
a21n,CFM56-5-A1,78960,3429,9580
a21n,CFM56-5-A1,78960,3890,11110
a21n,CFM56-5-A1,78960,4352,12590
a21n,CFM56-5-A1,80860,2045,5770
a21n,CFM56-5-A1,80860,2506,6980
a21n,CFM56-5-A1,80860,2968,8270
a21n,CFM56-5-A1,80860,3429,9750
a21n,CFM56-5-A1,80860,3890,11330
a21n,CFM56-5-A1,80860,4352,12810
a21n,CFM56-5-A1,82760,2045,6130
a21n,CFM56-5-A1,82760,2506,7050
a21n,CFM56-5-A1,82760,2968,8400
a21n,CFM56-5-A1,82760,3429,9940
a21n,CFM56-5-A1,82760,3890,11520
a21n,CFM56-5-A1,82760,4352,13040
a21n,CFM56-5-A1,84650,2506,7560
a21n,CFM56-5-A1,84650,2968,8540
a21n,CFM56-5-A1,84650,3429,10110
a21n,CFM56-5-A1,84650,3890,11710
a21n,CFM56-5-A1,84650,4352,13270
a21n,CFM56-5-A1,86550,3429,10270
a21n,CFM56-5-A1,86550,3890,11910
a21n,CFM56-5-A1,86550,4352,13520
a21n,CFM56-5-A1,88440,3890,12100
a21n,CFM56-5-A1,88440,4352,13770
a21n,CFM56-5-A1,60000,1122,2770
a21n,CFM56-5-A1,60000,1584,3880
a21n,CFM56-5-A1,60000,2045,4990
a21n,CFM56-5-A1,60000,2506,6090
a21n,CFM56-5-A1,60000,2968,7200
a21n,CFM56-5-A1,60000,3429,8250
a21n,CFM56-5-A1,60000,3890,9300
a21n,CFM56-5-A1,61900,1122,2820
a21n,CFM56-5-A1,61900,1584,3950
a21n,CFM56-5-A1,61900,2045,5080
a21n,CFM56-5-A1,61900,2506,6200
a21n,CFM56-5-A1,61900,2968,7320
a21n,CFM56-5-A1,61900,3429,8380
a21n,CFM56-5-A1,61900,3890,9450
a21n,CFM56-5-A1,61900,4352,10570
a21n,CFM56-5-A1,63790,1122,2850
a21n,CFM56-5-A1,63790,1584,4000
a21n,CFM56-5-A1,63790,2045,5150
a21n,CFM56-5-A1,63790,2506,6310
a21n,CFM56-5-A1,63790,2968,7420
a21n,CFM56-5-A1,63790,3429,8510
a21n,CFM56-5-A1,63790,3890,9610
a21n,CFM56-5-A1,63790,4352,10810
a21n,CFM56-5-A1,65690,1122,2890
a21n,CFM56-5-A1,65690,1584,4060
a21n,CFM56-5-A1,65690,2045,5230
a21n,CFM56-5-A1,65690,2506,6390
a21n,CFM56-5-A1,65690,2968,7500
a21n,CFM56-5-A1,65690,3429,8630
a21n,CFM56-5-A1,65690,3890,9800
a21n,CFM56-5-A1,65690,4352,11080
a21n,CFM56-5-A1,67590,1122,2920
a21n,CFM56-5-A1,67590,1584,4120
a21n,CFM56-5-A1,67590,2045,5320
a21n,CFM56-5-A1,67590,2506,6470
a21n,CFM56-5-A1,67590,2968,7590
a21n,CFM56-5-A1,67590,3429,8710
a21n,CFM56-5-A1,67590,3890,9930
a21n,CFM56-5-A1,67590,4352,11320
a21n,CFM56-5-A1,69480,1584,4190
a21n,CFM56-5-A1,69480,2045,5410
a21n,CFM56-5-A1,69480,2506,6540
a21n,CFM56-5-A1,69480,2968,7680
a21n,CFM56-5-A1,69480,3429,8810
a21n,CFM56-5-A1,69480,3890,10110
a21n,CFM56-5-A1,69480,4352,11460
a21n,CFM56-5-A1,71380,1584,4270
a21n,CFM56-5-A1,71380,2045,5470
a21n,CFM56-5-A1,71380,2506,6610
a21n,CFM56-5-A1,71380,2968,7760
a21n,CFM56-5-A1,71380,3429,8960
a21n,CFM56-5-A1,71380,3890,10300
a21n,CFM56-5-A1,71380,4352,11700
a21n,CFM56-5-A1,73270,1584,4320
a21n,CFM56-5-A1,73270,2045,5530
a21n,CFM56-5-A1,73270,2506,6690
a21n,CFM56-5-A1,73270,2968,7850
a21n,CFM56-5-A1,73270,3429,9100
a21n,CFM56-5-A1,73270,3890,10490
a21n,CFM56-5-A1,73270,4352,11940
a21n,CFM56-5-A1,75170,1584,4360
a21n,CFM56-5-A1,75170,2045,5590
a21n,CFM56-5-A1,75170,2506,6760
a21n,CFM56-5-A1,75170,2968,7930
a21n,CFM56-5-A1,75170,3429,9260
a21n,CFM56-5-A1,75170,3890,10690
a21n,CFM56-5-A1,75170,4352,12180
a21n,CFM56-5-A1,77070,1584,4530
a21n,CFM56-5-A1,77070,2045,5650
a21n,CFM56-5-A1,77070,2506,6830
a21n,CFM56-5-A1,77070,2968,8010
a21n,CFM56-5-A1,77070,3429,9420
a21n,CFM56-5-A1,77070,3890,10900
a21n,CFM56-5-A1,77070,4352,12380
a21n,CFM56-5-A1,78960,1584,4440
a21n,CFM56-5-A1,78960,2045,5710
a21n,CFM56-5-A1,78960,2506,6910
a21n,CFM56-5-A1,78960,2968,8130
a21n,CFM56-5-A1,78960,3429,9580
a21n,CFM56-5-A1,78960,3890,11110
a21n,CFM56-5-A1,78960,4352,12590
a21n,CFM56-5-A1,80860,2045,5770
a21n,CFM56-5-A1,80860,2506,6980
a21n,CFM56-5-A1,80860,2968,8270
a21n,CFM56-5-A1,80860,3429,9750
a21n,CFM56-5-A1,80860,3890,11330
a21n,CFM56-5-A1,80860,4352,12810
a21n,CFM56-5-A1,82760,2045,6130
a21n,CFM56-5-A1,82760,2506,7050
a21n,CFM56-5-A1,82760,2968,8400
a21n,CFM56-5-A1,82760,3429,9940
a21n,CFM56-5-A1,82760,3890,11520
a21n,CFM56-5-A1,82760,4352,13040
a21n,CFM56-5-A1,84650,2506,7560
a21n,CFM56-5-A1,84650,2968,8540
a21n,CFM56-5-A1,84650,3429,10110
a21n,CFM56-5-A1,84650,3890,11710
a21n,CFM56-5-A1,84650,4352,13270
a21n,CFM56-5-A1,86550,3429,10270
a21n,CFM56-5-A1,86550,3890,11910
a21n,CFM56-5-A1,86550,4352,13520
a21n,CFM56-5-A1,88440,3890,12100
a21n,CFM56-5-A1,88440,4352,13770
a21n,CFM56-5A3,60000,1122,2810
a21n,CFM56-5A3,60000,1584,3940
a21n,CFM56-5A3,60000,2045,5060
a21n,CFM56-5A3,60000,2506,6170
a21n,CFM56-5A3,60000,2968,7300
a21n,CFM56-5A3,60000,3429,8360
a21n,CFM56-5A3,60000,3890,9430
a21n,CFM56-5A3,61900,1122,2860
a21n,CFM56-5A3,61900,1584,4010
a21n,CFM56-5A3,61900,2045,5150
a21n,CFM56-5A3,61900,2506,6290
a21n,CFM56-5A3,61900,2968,7410
a21n,CFM56-5A3,61900,3429,8490
a21n,CFM56-5A3,61900,3890,9590
a21n,CFM56-5A3,61900,4352,10720
a21n,CFM56-5A3,63790,1122,2900
a21n,CFM56-5A3,63790,1584,4060
a21n,CFM56-5A3,63790,2045,5220
a21n,CFM56-5A3,63790,2506,6410
a21n,CFM56-5A3,63790,2968,7510
a21n,CFM56-5A3,63790,3429,8620
a21n,CFM56-5A3,63790,3890,9740
a21n,CFM56-5A3,63790,4352,10950
a21n,CFM56-5A3,65690,1584,4110
