ac,eng,mass,distance,fuel
a333,CFM56-5-A1,147340,2135,14800
a333,CFM56-5-A1,147340,3103,21430
a333,CFM56-5-A1,152190,2135,15070
a333,CFM56-5-A1,152190,3103,21810
a333,CFM56-5-A1,152190,4071,28330
a333,CFM56-5-A1,157050,2135,15340
a333,CFM56-5-A1,157050,3103,22200
a333,CFM56-5-A1,157050,4071,28830
a333,CFM56-5-A1,161900,2135,15610
a333,CFM56-5-A1,161900,3103,22590
a333,CFM56-5-A1,161900,4071,29340
a333,CFM56-5-A1,161900,5039,35890
a333,CFM56-5-A1,166760,2135,15890
a333,CFM56-5-A1,166760,3103,22990
a333,CFM56-5-A1,166760,4071,29850
a333,CFM56-5-A1,166760,5039,36510
a333,CFM56-5-A1,166760,6007,43050
a333,CFM56-5-A1,171610,2135,16180
a333,CFM56-5-A1,171610,3103,23390
a333,CFM56-5-A1,171610,4071,30370
a333,CFM56-5-A1,171610,5039,37140
a333,CFM56-5-A1,171610,6007,43790
a333,CFM56-5-A1,176470,2135,16470
a333,CFM56-5-A1,176470,3103,23800
a333,CFM56-5-A1,176470,4071,30900
a333,CFM56-5-A1,176470,5039,37770
a333,CFM56-5-A1,176470,6007,44530
a333,CFM56-5-A1,176470,6975,51090
a333,CFM56-5-A1,181320,2135,16760
a333,CFM56-5-A1,181320,3103,24220
a333,CFM56-5-A1,181320,4071,31430
a333,CFM56-5-A1,181320,5039,38420
a333,CFM56-5-A1,181320,6007,45290
a333,CFM56-5-A1,181320,6975,51940
a333,CFM56-5-A1,181320,7943,58570
a333,CFM56-5-A1,186180,2135,17070
a333,CFM56-5-A1,186180,3103,24650
a333,CFM56-5-A1,186180,4071,31980
a333,CFM56-5-A1,186180,5039,39080
a333,CFM56-5-A1,186180,6007,46050
a333,CFM56-5-A1,186180,6975,52820
a333,CFM56-5-A1,186180,7943,59720
a333,CFM56-5-A1,191030,2135,17370
a333,CFM56-5-A1,191030,3103,25080
a333,CFM56-5-A1,191030,4071,32530
a333,CFM56-5-A1,191030,5039,39750
a333,CFM56-5-A1,191030,6007,46830
a333,CFM56-5-A1,191030,6975,53700
a333,CFM56-5-A1,191030,7943,60760
a333,CFM56-5-A1,195890,2135,17690
a333,CFM56-5-A1,195890,3103,25530
a333,CFM56-5-A1,195890,4071,33100
a333,CFM56-5-A1,195890,5039,40430
a333,CFM56-5-A1,195890,6007,47630
a333,CFM56-5-A1,195890,6975,54600
a333,CFM56-5-A1,195890,7943,61830
a333,CFM56-5-A1,200740,2135,18020
a333,CFM56-5-A1,200740,3103,25980
a333,CFM56-5-A1,200740,4071,33680
a333,CFM56-5-A1,200740,5039,41130
a333,CFM56-5-A1,200740,6007,48440
a333,CFM56-5-A1,200740,6975,55520
a333,CFM56-5-A1,200740,7943,62930
a333,CFM56-5-A1,205600,2135,18360
a333,CFM56-5-A1,205600,4071,34270
a333,CFM56-5-A1,205600,5039,41840
a333,CFM56-5-A1,205600,6007,49260
a333,CFM56-5-A1,205600,6975,56460
a333,CFM56-5-A1,205600,7943,64070
a333,CFM56-5-A1,205600,8911,70770
a333,CFM56-5-A1,210450,3103,26950
a333,CFM56-5-A1,210450,4071,34880
a333,CFM56-5-A1,210450,5039,42580
a333,CFM56-5-A1,210450,6007,50110
a333,CFM56-5-A1,210450,6975,57420
a333,CFM56-5-A1,210450,7943,65250
a333,CFM56-5-A1,215310,4071,35580
a333,CFM56-5-A1,215310,5039,43400
a333,CFM56-5-A1,215310,6007,51020
a333,CFM56-5-A1,215310,6975,58410
a333,CFM56-5-A1,215310,7943,66450
a333,CFM56-5-A1,215310,8911,73330
a333,CFM56-5-A1,220160,4071,36420
a333,CFM56-5-A1,220160,5039,44420
a333,CFM56-5-A1,220160,6007,52250
a333,CFM56-5-A1,220160,6975,59800
a333,CFM56-5-A1,220160,7943,68080
a333,CFM56-5-A1,220160,8911,74970
a333,CFM56-5-A1,147340,2135,14800
a333,CFM56-5-A1,147340,3103,21430
a333,CFM56-5-A1,152190,2135,15070
a333,CFM56-5-A1,152190,3103,21810
a333,CFM56-5-A1,152190,4071,28330
a333,CFM56-5-A1,157050,2135,15340
a333,CFM56-5-A1,157050,3103,22200
a333,CFM56-5-A1,157050,4071,28830
a333,CFM56-5-A1,161900,2135,15610
a333,CFM56-5-A1,161900,3103,22590
a333,CFM56-5-A1,161900,4071,29340
a333,CFM56-5-A1,161900,5039,35890
a333,CFM56-5-A1,166760,2135,15890
a333,CFM56-5-A1,166760,3103,22990
a333,CFM56-5-A1,166760,4071,29850
a333,CFM56-5-A1,166760,5039,36510
a333,CFM56-5-A1,166760,6007,43050
a333,CFM56-5-A1,171610,2135,16180
a333,CFM56-5-A1,171610,3103,23390
a333,CFM56-5-A1,171610,4071,30370
a333,CFM56-5-A1,171610,5039,37140
a333,CFM56-5-A1,171610,6007,43790
a333,CFM56-5-A1,176470,2135,16470
a333,CFM56-5-A1,176470,3103,23800
a333,CFM56-5-A1,176470,4071,30900
a333,CFM56-5-A1,176470,5039,37770
a333,CFM56-5-A1,176470,6007,44530
a333,CFM56-5-A1,176470,6975,51090
a333,CFM56-5-A1,181320,2135,16760
a333,CFM56-5-A1,181320,3103,24220
a333,CFM56-5-A1,181320,4071,31430
a333,CFM56-5-A1,181320,5039,38420
a333,CFM56-5-A1,181320,6007,45290
a333,CFM56-5-A1,181320,6975,51940
a333,CFM56-5-A1,181320,7943,58570
a333,CFM56-5-A1,186180,2135,17070
a333,CFM56-5-A1,186180,3103,24650
a333,CFM56-5-A1,186180,4071,31980
a333,CFM56-5-A1,186180,5039,39080
a333,CFM56-5-A1,186180,6007,46050
a333,CFM56-5-A1,186180,6975,52820
a333,CFM56-5-A1,186180,7943,59720
a333,CFM56-5-A1,191030,2135,17370
a333,CFM56-5-A1,191030,3103,25080
a333,CFM56-5-A1,191030,4071,32530
a333,CFM56-5-A1,191030,5039,39750
a333,CFM56-5-A1,191030,6007,46830
a333,CFM56-5-A1,191030,6975,53700
a333,CFM56-5-A1,191030,7943,60760
a333,CFM56-5-A1,195890,2135,17690
a333,CFM56-5-A1,195890,3103,25530
a333,CFM56-5-A1,195890,4071,33100
a333,CFM56-5-A1,195890,5039,40430
a333,CFM56-5-A1,195890,6007,47630
a333,CFM56-5-A1,195890,6975,54600
a333,CFM56-5-A1,195890,7943,61830
a333,CFM56-5-A1,200740,2135,18020
a333,CFM56-5-A1,200740,3103,25980
a333,CFM56-5-A1,200740,4071,33680
a333,CFM56-5-A1,200740,5039,41130
a333,CFM56-5-A1,200740,6007,48440
a333,CFM56-5-A1,200740,6975,55520
a333,CFM56-5-A1,200740,7943,62930
a333,CFM56-5-A1,205600,2135,18360
a333,CFM56-5-A1,205600,4071,34270
a333,CFM56-5-A1,205600,5039,41840
a333,CFM56-5-A1,205600,6007,49260
a333,CFM56-5-A1,205600,6975,56460
a333,CFM56-5-A1,205600,7943,64070
a333,CFM56-5-A1,205600,8911,70770
a333,CFM56-5-A1,210450,3103,26950
a333,CFM56-5-A1,210450,4071,34880
a333,CFM56-5-A1,210450,5039,42580
a333,CFM56-5-A1,210450,6007,50110
a333,CFM56-5-A1,210450,6975,57420
a333,CFM56-5-A1,210450,7943,65250
a333,CFM56-5-A1,215310,4071,35580
a333,CFM56-5-A1,215310,5039,43400
a333,CFM56-5-A1,215310,6007,51020
a333,CFM56-5-A1,215310,6975,58410
a333,CFM56-5-A1,215310,7943,66450
a333,CFM56-5-A1,215310,8911,73330
a333,CFM56-5-A1,220160,4071,36420
a333,CFM56-5-A1,220160,5039,44420
a333,CFM56-5-A1,220160,6007,52250
a333,CFM56-5-A1,220160,6975,59800
a333,CFM56-5-A1,220160,7943,68080
a333,CFM56-5-A1,220160,8911,74970
a333,CFM56-5A3,147340,2135,14860
a333,CFM56-5A3,147340,3103,21520
a333,CFM56-5A3,152190,2135,15120
a333,CFM56-5A3,152190,3103,21900
a333,CFM56-5A3,152190,4071,28460
a333,CFM56-5A3,157050,2135,15390
a333,CFM56-5A3,157050,3103,22280
a333,CFM56-5A3,157050,4071,28950
a333,CFM56-5A3,161900,2135,15660
a333,CFM56-5A3,161900,3103,22670
a333,CFM56-5A3,161900,4071,29450
a333,CFM56-5A3,161900,5039,36040
a333,CFM56-5A3,166760,2135,15940
a333,CFM56-5A3,166760,3103,23070
a333,CFM56-5A3,166760,4071,29960
a333,CFM56-5A3,166760,5039,36650
a333,CFM56-5A3,166760,6007,43230
a333,CFM56-5A3,171610,2135,16220
a333,CFM56-5A3,171610,3103,23470
a333,CFM56-5A3,171610,4071,30470
a333,CFM56-5A3,171610,5039,37270
a333,CFM56-5A3,171610,6007,43960
a333,CFM56-5A3,176470,2135,16510
a333,CFM56-5A3,176470,3103,23870
a333,CFM56-5A3,176470,4071,31000
a333,CFM56-5A3,176470,5039,37910
a333,CFM56-5A3,176470,6007,44700
a333,CFM56-5A3,176470,6975,51280
a333,CFM56-5A3,181320,2135,16800
a333,CFM56-5A3,181320,3103,24290
a333,CFM56-5A3,181320,4071,31530
a333,CFM56-5A3,181320,5039,38550
a333,CFM56-5A3,181320,6007,45440
a333,CFM56-5A3,181320,6975,52130
a333,CFM56-5A3,181320,7943,58910
a333,CFM56-5A3,186180,2135,17100
a333,CFM56-5A3,186180,3103,24710
a333,CFM56-5A3,186180,4071,32070
a333,CFM56-5A3,186180,5039,39200
a333,CFM56-5A3,186180,6007,46200
a333,CFM56-5A3,186180,6975,53000
a333,CFM56-5A3,186180,7943,59940
a333,CFM56-5A3,191030,2135,17400
a333,CFM56-5A3,191030,3103,25140
a333,CFM56-5A3,191030,4071,32620
a333,CFM56-5A3,191030,5039,39860
a333,CFM56-5A3,191030,6007,46980
a333,CFM56-5A3,191030,6975,53880
a333,CFM56-5A3,191030,7943,60970
a333,CFM56-5A3,191030,8911,67460
a333,CFM56-5A3,195890,2135,17720
a333,CFM56-5A3,195890,4071,33180
a333,CFM56-5A3,195890,5039,40540
a333,CFM56-5A3,195890,6007,47760
a333,CFM56-5A3,195890,6975,54870
a333,CFM56-5A3,195890,7943,62030
a333,CFM56-5A3,195890,8911,68600
a333,CFM56-5A3,200740,2135,18060
a333,CFM56-5A3,200740,3103,26040
a333,CFM56-5A3,200740,4071,33750
a333,CFM56-5A3,200740,5039,41230
a333,CFM56-5A3,200740,6007,48560
a333,CFM56-5A3,200740,6975,55680
a333,CFM56-5A3,200740,7943,63110
a333,CFM56-5A3,200740,8911,69770
a333,CFM56-5A3,205600,2135,18430
a333,CFM56-5A3,205600,3103,26540
a333,CFM56-5A3,205600,4071,34360
a333,CFM56-5A3,205600,5039,41950
a333,CFM56-5A3,205600,6007,49390
a333,CFM56-5A3,205600,6975,56610
a333,CFM56-5A3,205600,7943,64250
a333,CFM56-5A3,205600,8911,70980
a333,CFM56-5A3,210450,3103,27110
a333,CFM56-5A3,210450,4071,35090
a333,CFM56-5A3,210450,5039,42820
a333,CFM56-5A3,210450,6007,50390
a333,CFM56-5A3,210450,6975,57700
a333,CFM56-5A3,210450,7943,65530
a333,CFM56-5A3,210450,8911,72290
a333,CFM56-5A3,215310,4071,35990
a333,CFM56-5A3,215310,5039,43940
a333,CFM56-5B4,147340,1167,7990
a333,CFM56-5B4,147340,2135,14260
a333,CFM56-5B4,147340,3103,20360
a333,CFM56-5B4,152190,2135,14560
a333,CFM56-5B4,152190,3103,20810
a333,CFM56-5B4,152190,4071,26880
a333,CFM56-5B4,157050,2135,14860
a333,CFM56-5B4,157050,3103,21260
a333,CFM56-5B4,157050,4071,27490
a333,CFM56-5B4,157050,5039,33370
a333,CFM56-5B4,161900,1167,8460
a333,CFM56-5B4,161900,2135,15150
a333,CFM56-5B4,161900,3103,21710
a333,CFM56-5B4,161900,4071,28110
a333,CFM56-5B4,161900,5039,34230
a333,CFM56-5B4,166760,1167,8610
a333,CFM56-5B4,166760,2135,15450
a333,CFM56-5B4,166760,3103,22160
a333,CFM56-5B4,166760,4071,28730
a333,CFM56-5B4,166760,5039,35060
a333,CFM56-5B4,166760,6007,41250
a333,CFM56-5B4,171610,2135,15750
a333,CFM56-5B4,171610,3103,22610
a333,CFM56-5B4,171610,4071,29370
a333,CFM56-5B4,171610,5039,35890
a333,CFM56-5B4,171610,6007,42300
a333,CFM56-5B4,171610,6975,48550
a333,CFM56-5B4,176470,2135,16050
a333,CFM56-5B4,176470,3103,23060
