ac,eng,mass,distance,fuel,time
a343,CFM56-5-A1,156000,1725,11420,135
a343,CFM56-5-A1,156000,3250,20970,248
a343,CFM56-5-A1,162170,1725,11670,135
a343,CFM56-5-A1,162170,3250,21450,248
a343,CFM56-5-A1,162170,4776,30980,363
a343,CFM56-5-A1,168340,1725,11880,136
a343,CFM56-5-A1,168340,3250,21950,248
a343,CFM56-5-A1,168340,4776,31890,363
a343,CFM56-5-A1,174510,1725,12090,135
a343,CFM56-5-A1,174510,3250,22480,247
a343,CFM56-5-A1,174510,4776,32900,364
a343,CFM56-5-A1,174510,6301,42850,481
a343,CFM56-5-A1,180680,1725,12300,136
a343,CFM56-5-A1,180680,3250,22920,246
a343,CFM56-5-A1,180680,4776,33830,362
a343,CFM56-5-A1,186850,1725,12860,141
a343,CFM56-5-A1,186850,3250,23310,245
a343,CFM56-5-A1,186850,4776,34890,360
a343,CFM56-5-A1,186850,6301,45170,478
a343,CFM56-5-A1,193020,1725,13140,141
a343,CFM56-5-A1,193020,3250,23790,245
a343,CFM56-5-A1,193020,4776,36030,360
a343,CFM56-5-A1,193020,6301,46630,476
a343,CFM56-5-A1,193020,7827,55170,592
a343,CFM56-5-A1,199190,1725,13510,141
a343,CFM56-5-A1,199190,3250,24360,245
a343,CFM56-5-A1,199190,4776,36910,361
a343,CFM56-5-A1,199190,6301,48040,474
a343,CFM56-5-A1,199190,7827,56530,591
a343,CFM56-5-A1,199190,9352,66670,707
a343,CFM56-5-A1,205360,3250,24940,246
a343,CFM56-5-A1,205360,4776,37960,360
a343,CFM56-5-A1,205360,6301,49310,472
a343,CFM56-5-A1,205360,7827,58390,590
a343,CFM56-5-A1,205360,9352,68600,717
a343,CFM56-5-A1,211530,3250,25620,245
a343,CFM56-5-A1,211530,4776,38820,359
a343,CFM56-5-A1,211530,6301,50440,471
a343,CFM56-5-A1,211530,10878,80030,820
a343,CFM56-5-A1,217710,4776,39740,357
a343,CFM56-5-A1,217710,6301,51600,470
a343,CFM56-5-A1,217710,7827,62010,588
a343,CFM56-5-A1,217710,9352,72260,703
a343,CFM56-5-A1,223880,4776,41390,358
a343,CFM56-5-A1,223880,6301,52810,469
a343,CFM56-5-A1,223880,7827,63270,586
a343,CFM56-5-A1,223880,9352,73700,700
a343,CFM56-5-A1,223880,12403,93340,932
a343,CFM56-5-A1,230050,7827,64560,584
a343,CFM56-5-A1,230050,9352,75410,719
a343,CFM56-5-A1,230050,10878,85340,813
a343,CFM56-5-A1,230050,12403,95120,930
a343,CFM56-5-A1,236220,6301,55670,467
a343,CFM56-5-A1,236220,7827,65870,583
a343,CFM56-5-A1,236220,9352,76630,697
a343,CFM56-5-A1,236220,12403,96780,928
a343,CFM56-5-A1,236220,13929,106060,1045
a343,CFM56-5-A1,242390,7827,67210,581
a343,CFM56-5-A1,242390,9352,78130,695
a343,CFM56-5-A1,242390,12403,98440,926
a343,CFM56-5-A1,242390,13929,107940,1043
a343,CFM56-5-A1,248560,7827,68580,580
a343,CFM56-5-A1,248560,9352,79670,693
a343,CFM56-5-A1,248560,10878,89920,808
a343,CFM56-5-A1,248560,12403,100000,923
a343,CFM56-5-A1,248560,13929,109730,1040
a343,CFM56-5-A1,254730,9352,81230,692
a343,CFM56-5-A1,254730,10878,91380,806
a343,CFM56-5-A1,254730,13929,111540,1038
a343,CFM56-5-A1,260900,9352,82610,690
a343,CFM56-5-A1,260900,10878,92950,805
a343,CFM56-5-A1,260900,12403,103120,918
a343,CFM56-5-A1,260900,13929,113210,1035
a343,CFM56-5-A1,267070,10878,94260,805
a343,CFM56-5-A1,267070,13929,114920,1032
a343,CFM56-5-A1,273240,12403,106370,915
a343,CFM56-5-A1,273240,13929,116680,1030
a343,CFM56-5-A1,156000,1725,11420,135
a343,CFM56-5-A1,156000,3250,20970,248
a343,CFM56-5-A1,162170,1725,11670,135
a343,CFM56-5-A1,162170,3250,21450,248
a343,CFM56-5-A1,162170,4776,30980,363
a343,CFM56-5-A1,168340,1725,11880,136
a343,CFM56-5-A1,168340,3250,21950,248
a343,CFM56-5-A1,168340,4776,31890,363
a343,CFM56-5-A1,174510,1725,12090,135
a343,CFM56-5-A1,174510,3250,22480,247
a343,CFM56-5-A1,174510,4776,32900,364
a343,CFM56-5-A1,174510,6301,42850,481
a343,CFM56-5-A1,180680,1725,12300,136
a343,CFM56-5-A1,180680,3250,22920,246
a343,CFM56-5-A1,180680,4776,33830,362
a343,CFM56-5-A1,186850,1725,12860,141
a343,CFM56-5-A1,186850,3250,23310,245
a343,CFM56-5-A1,186850,4776,34890,360
a343,CFM56-5-A1,186850,6301,45170,478
a343,CFM56-5-A1,193020,1725,13140,141
a343,CFM56-5-A1,193020,3250,23790,245
a343,CFM56-5-A1,193020,4776,36030,360
a343,CFM56-5-A1,193020,6301,46630,476
a343,CFM56-5-A1,193020,7827,55170,592
a343,CFM56-5-A1,199190,1725,13510,141
a343,CFM56-5-A1,199190,3250,24360,245
a343,CFM56-5-A1,199190,4776,36910,361
a343,CFM56-5-A1,199190,6301,48040,474
a343,CFM56-5-A1,199190,7827,56530,591
a343,CFM56-5-A1,199190,9352,66670,707
a343,CFM56-5-A1,205360,3250,24940,246
a343,CFM56-5-A1,205360,4776,37960,360
a343,CFM56-5-A1,205360,6301,49310,472
a343,CFM56-5-A1,205360,7827,58390,590
a343,CFM56-5-A1,205360,9352,68600,717
a343,CFM56-5-A1,211530,3250,25620,245
a343,CFM56-5-A1,211530,4776,38820,359
a343,CFM56-5-A1,211530,6301,50440,471
a343,CFM56-5-A1,211530,10878,80030,820
a343,CFM56-5-A1,217710,4776,39740,357
a343,CFM56-5-A1,217710,6301,51600,470
a343,CFM56-5-A1,217710,7827,62010,588
a343,CFM56-5-A1,217710,9352,72260,703
a343,CFM56-5-A1,223880,4776,41390,358
a343,CFM56-5-A1,223880,6301,52810,469
a343,CFM56-5-A1,223880,7827,63270,586
a343,CFM56-5-A1,223880,9352,73700,700
a343,CFM56-5-A1,223880,12403,93340,932
a343,CFM56-5-A1,230050,7827,64560,584
a343,CFM56-5-A1,230050,9352,75410,719
a343,CFM56-5-A1,230050,10878,85340,813
a343,CFM56-5-A1,230050,12403,95120,930
a343,CFM56-5-A1,236220,6301,55670,467
a343,CFM56-5-A1,236220,7827,65870,583
a343,CFM56-5-A1,236220,9352,76630,697
a343,CFM56-5-A1,236220,12403,96780,928
a343,CFM56-5-A1,236220,13929,106060,1045
a343,CFM56-5-A1,242390,7827,67210,581
a343,CFM56-5-A1,242390,9352,78130,695
a343,CFM56-5-A1,242390,12403,98440,926
a343,CFM56-5-A1,242390,13929,107940,1043
a343,CFM56-5-A1,248560,7827,68580,580
a343,CFM56-5-A1,248560,9352,79670,693
a343,CFM56-5-A1,248560,10878,89920,808
a343,CFM56-5-A1,248560,12403,100000,923
a343,CFM56-5-A1,248560,13929,109730,1040
a343,CFM56-5-A1,254730,9352,81230,692
a343,CFM56-5-A1,254730,10878,91380,806
a343,CFM56-5-A1,254730,13929,111540,1038
a343,CFM56-5-A1,260900,9352,82610,690
a343,CFM56-5-A1,260900,10878,92950,805
a343,CFM56-5-A1,260900,12403,103120,918
a343,CFM56-5-A1,260900,13929,113210,1035
a343,CFM56-5-A1,267070,10878,94260,805
a343,CFM56-5-A1,267070,13929,114920,1032
a343,CFM56-5-A1,273240,12403,106370,915
a343,CFM56-5-A1,273240,13929,116680,1030
a343,CFM56-5A3,156000,1725,11580,136
a343,CFM56-5A3,156000,3250,21260,249
a343,CFM56-5A3,162170,1725,11820,135
a343,CFM56-5A3,162170,3250,21750,249
a343,CFM56-5A3,162170,4776,31430,365
a343,CFM56-5A3,168340,1725,12030,137
a343,CFM56-5A3,168340,3250,22260,249
a343,CFM56-5A3,168340,4776,32360,364
a343,CFM56-5A3,174510,1725,12220,136
a343,CFM56-5A3,174510,3250,22760,248
a343,CFM56-5A3,174510,4776,33310,364
a343,CFM56-5A3,174510,6301,43430,482
a343,CFM56-5A3,180680,1725,13020,167
a343,CFM56-5A3,180680,3250,23190,246
a343,CFM56-5A3,180680,4776,34310,362
a343,CFM56-5A3,180680,6301,44570,480
a343,CFM56-5A3,186850,1725,13070,142
a343,CFM56-5A3,186850,3250,23570,246
a343,CFM56-5A3,186850,4776,35490,365
a343,CFM56-5A3,186850,6301,45740,479
a343,CFM56-5A3,186850,7827,54560,596
a343,CFM56-5A3,193020,1725,13380,142
a343,CFM56-5A3,193020,3250,24040,246
a343,CFM56-5A3,193020,4776,36250,361
a343,CFM56-5A3,193020,6301,47210,477
a343,CFM56-5A3,193020,7827,55850,594
a343,CFM56-5A3,199190,1725,13780,149
a343,CFM56-5A3,199190,3250,24620,247
a343,CFM56-5A3,199190,4776,37350,362
a343,CFM56-5A3,199190,6301,48620,475
a343,CFM56-5A3,199190,7827,57220,593
a343,CFM56-5A3,199190,9352,67450,709
a343,CFM56-5A3,205360,3250,25220,247
a343,CFM56-5A3,205360,4776,38320,361
a343,CFM56-5A3,205360,6301,49820,473
a343,CFM56-5A3,205360,7827,59120,592
a343,CFM56-5A3,205360,9352,69110,709
a343,CFM56-5A3,211530,3250,26650,251
a343,CFM56-5A3,211530,4776,39170,359
a343,CFM56-5A3,211530,6301,50900,472
a343,CFM56-5A3,211530,7827,60540,599
a343,CFM56-5A3,211530,9352,71510,707
a343,CFM56-5A3,211530,10878,80890,822
a343,CFM56-5A3,217710,4776,40870,360
a343,CFM56-5A3,217710,6301,52060,471
a343,CFM56-5A3,217710,7827,62560,589
a343,CFM56-5A3,217710,9352,72930,705
a343,CFM56-5A3,217710,10878,82830,820
a343,CFM56-5A3,223880,4776,41020,359
a343,CFM56-5A3,223880,6301,53260,470
a343,CFM56-5A3,223880,7827,63800,587
a343,CFM56-5A3,223880,12403,94240,935
a343,CFM56-5A3,230050,6301,54850,470
a343,CFM56-5A3,230050,7827,65070,586
a343,CFM56-5A3,230050,9352,75790,700
a343,CFM56-5A3,230050,12403,95990,933
a343,CFM56-5A3,236220,6301,53180,473
a343,CFM56-5A3,236220,7827,66370,584
a343,CFM56-5A3,236220,10878,87670,813
a343,CFM56-5A3,236220,12403,97630,930
a343,CFM56-5A3,236220,13929,107040,1048
a343,CFM56-5A3,242390,10878,89100,811
a343,CFM56-5A3,242390,12403,99220,928
a343,CFM56-5A3,242390,13929,108900,1045
a343,CFM56-5A3,248560,10878,90560,810
a343,CFM56-5A3,248560,13929,110660,1043
a343,CFM56-5A3,254730,10878,92010,809
a343,CFM56-5A3,254730,12403,102270,923
a343,CFM56-5A3,260900,9352,82790,694
a343,CFM56-5A3,260900,10878,93510,809
a343,CFM56-5A3,260900,12403,103860,921
a343,CFM56-5A3,260900,13929,114120,1037
a343,CFM56-5A3,267070,9352,84330,691
a343,CFM56-5A3,267070,10878,94740,808
a343,CFM56-5A3,267070,12403,105410,920
a343,CFM56-5A3,267070,13929,115760,1035
a343,CFM56-5A3,273240,10878,96030,809
a343,CFM56-5A3,273240,12403,107030,917
a343,CFM56-5A3,273240,13929,117490,1033
a343,CFM56-5B4,156000,1725,10900,136
a343,CFM56-5B4,156000,3250,19930,249
a343,CFM56-5B4,162170,1725,11130,135
a343,CFM56-5B4,162170,3250,20400,249
a343,CFM56-5B4,162170,4776,29280,366
a343,CFM56-5B4,168340,1725,11360,135
a343,CFM56-5B4,168340,3250,20910,249
a343,CFM56-5B4,168340,4776,30100,366
a343,CFM56-5B4,174510,1725,11600,134
a343,CFM56-5B4,174510,3250,21360,248
a343,CFM56-5B4,174510,4776,30910,365
a343,CFM56-5B4,174510,6301,40610,482
a343,CFM56-5B4,180680,1725,11810,133
a343,CFM56-5B4,180680,3250,21790,247
a343,CFM56-5B4,180680,4776,31730,364
a343,CFM56-5B4,180680,6301,41720,481
a343,CFM56-5B4,180680,7827,50030,599
a343,CFM56-5B4,186850,1725,12040,132
a343,CFM56-5B4,186850,3250,22170,246
a343,CFM56-5B4,186850,4776,32610,363
a343,CFM56-5B4,186850,6301,42840,480
a343,CFM56-5B4,186850,7827,51180,598
a343,CFM56-5B4,193020,1725,12280,132
a343,CFM56-5B4,193020,3250,22570,246
a343,CFM56-5B4,193020,4776,33370,361
a343,CFM56-5B4,193020,6301,43990,479
a343,CFM56-5B4,193020,7827,52340,597
a343,CFM56-5B4,193020,9352,62070,714
a343,CFM56-5B4,199190,1725,12540,132
a343,CFM56-5B4,199190,3250,22960,245
a343,CFM56-5B4,199190,4776,34240,361
a343,CFM56-5B4,199190,6301,45480,477
a343,CFM56-5B4,205360,3250,23370,245
a343,CFM56-5B4,205360,4776,35150,360
a343,CFM56-5B4,205360,6301,46720,476
a343,CFM56-5B4,205360,7827,54900,594
a343,CFM56-5B4,205360,9352,64960,711
a343,CFM56-5B4,205360,10878,74810,828
