ac,eng,mass,distance,fuel,time
b37m,CFM56-5-A1,54000,725,1910,59
b37m,CFM56-5-A1,54000,1250,3230,97
b37m,CFM56-5-A1,54000,1776,4550,135
b37m,CFM56-5-A1,54000,2301,5850,173
b37m,CFM56-5-A1,54000,2827,7130,211
b37m,CFM56-5-A1,54000,3352,8410,249
b37m,CFM56-5-A1,55330,1250,3270,97
b37m,CFM56-5-A1,55330,1776,4600,135
b37m,CFM56-5-A1,55330,2301,5920,173
b37m,CFM56-5-A1,55330,2827,7220,211
b37m,CFM56-5-A1,55330,3352,8510,249
b37m,CFM56-5-A1,55330,3878,9780,289
b37m,CFM56-5-A1,56650,725,1950,59
b37m,CFM56-5-A1,56650,1250,3310,97
b37m,CFM56-5-A1,56650,1776,4650,135
b37m,CFM56-5-A1,56650,2301,5990,173
b37m,CFM56-5-A1,56650,2827,7310,210
b37m,CFM56-5-A1,56650,3352,8610,249
b37m,CFM56-5-A1,56650,3878,9890,288
b37m,CFM56-5-A1,56650,4403,11140,328
b37m,CFM56-5-A1,57980,1250,3340,96
b37m,CFM56-5-A1,57980,1776,4710,134
b37m,CFM56-5-A1,57980,2301,6060,173
b37m,CFM56-5-A1,57980,2827,7400,210
b37m,CFM56-5-A1,57980,3352,8710,249
b37m,CFM56-5-A1,57980,3878,10000,288
b37m,CFM56-5-A1,57980,4403,11270,328
b37m,CFM56-5-A1,57980,4929,12610,367
b37m,CFM56-5-A1,59310,1250,3380,96
b37m,CFM56-5-A1,59310,1776,4760,134
b37m,CFM56-5-A1,59310,2301,6130,173
b37m,CFM56-5-A1,59310,2827,7510,211
b37m,CFM56-5-A1,59310,3352,8820,249
b37m,CFM56-5-A1,59310,3878,10120,288
b37m,CFM56-5-A1,59310,4403,11430,327
b37m,CFM56-5-A1,59310,4929,12810,366
b37m,CFM56-5-A1,60630,1250,3420,97
b37m,CFM56-5-A1,60630,1776,4820,135
b37m,CFM56-5-A1,60630,2301,6210,172
b37m,CFM56-5-A1,60630,2827,7620,211
b37m,CFM56-5-A1,60630,3352,8930,249
b37m,CFM56-5-A1,60630,3878,10250,288
b37m,CFM56-5-A1,60630,4403,11610,327
b37m,CFM56-5-A1,60630,4929,13020,366
b37m,CFM56-5-A1,61960,1250,3460,97
b37m,CFM56-5-A1,61960,1776,4880,134
b37m,CFM56-5-A1,61960,2301,6290,172
b37m,CFM56-5-A1,61960,2827,7710,211
b37m,CFM56-5-A1,61960,3352,9040,249
b37m,CFM56-5-A1,61960,3878,10370,288
b37m,CFM56-5-A1,61960,4403,11810,327
b37m,CFM56-5-A1,61960,4929,13250,366
b37m,CFM56-5-A1,63280,1250,3500,95
b37m,CFM56-5-A1,63280,1776,4940,134
b37m,CFM56-5-A1,63280,2301,6380,172
b37m,CFM56-5-A1,63280,2827,7790,210
b37m,CFM56-5-A1,63280,3352,9140,248
b37m,CFM56-5-A1,63280,3878,10540,288
b37m,CFM56-5-A1,63280,4403,12020,327
b37m,CFM56-5-A1,63280,4929,13500,366
b37m,CFM56-5-A1,64610,1776,5000,135
b37m,CFM56-5-A1,64610,2301,6470,172
b37m,CFM56-5-A1,64610,2827,7880,210
b37m,CFM56-5-A1,64610,3352,9240,248
b37m,CFM56-5-A1,64610,3878,10700,288
b37m,CFM56-5-A1,64610,4403,12250,326
b37m,CFM56-5-A1,64610,4929,13770,365
b37m,CFM56-5-A1,65940,2301,6560,171
b37m,CFM56-5-A1,65940,2827,7960,209
b37m,CFM56-5-A1,65940,3352,9330,247
b37m,CFM56-5-A1,65940,3878,10870,287
b37m,CFM56-5-A1,65940,4403,12450,326
b37m,CFM56-5-A1,65940,4929,13980,365
b37m,CFM56-5-A1,67260,2827,8030,209
b37m,CFM56-5-A1,67260,3352,9420,247
b37m,CFM56-5-A1,67260,3878,11040,286
b37m,CFM56-5-A1,67260,4403,12690,325
b37m,CFM56-5-A1,67260,4929,14160,364
b37m,CFM56-5-A1,68590,3352,9510,247
b37m,CFM56-5-A1,68590,3878,11220,286
b37m,CFM56-5-A1,68590,4403,12860,325
b37m,CFM56-5-A1,68590,4929,14340,363
b37m,CFM56-5-A1,69920,3878,11320,285
b37m,CFM56-5-A1,69920,4403,13020,324
b37m,CFM56-5-A1,69920,4929,14540,363
b37m,CFM56-5-A1,71240,4403,13180,323
b37m,CFM56-5-A1,71240,4929,14730,363
b37m,CFM56-5-A1,72570,4929,14910,363
b37m,CFM56-5-A1,73890,4929,15090,362
b37m,CFM56-5-A1,54000,725,1910,59
b37m,CFM56-5-A1,54000,1250,3230,97
b37m,CFM56-5-A1,54000,1776,4550,135
b37m,CFM56-5-A1,54000,2301,5850,173
b37m,CFM56-5-A1,54000,2827,7130,211
b37m,CFM56-5-A1,54000,3352,8410,249
b37m,CFM56-5-A1,55330,1250,3270,97
b37m,CFM56-5-A1,55330,1776,4600,135
b37m,CFM56-5-A1,55330,2301,5920,173
b37m,CFM56-5-A1,55330,2827,7220,211
b37m,CFM56-5-A1,55330,3352,8510,249
b37m,CFM56-5-A1,55330,3878,9780,289
b37m,CFM56-5-A1,56650,725,1950,59
b37m,CFM56-5-A1,56650,1250,3310,97
b37m,CFM56-5-A1,56650,1776,4650,135
b37m,CFM56-5-A1,56650,2301,5990,173
b37m,CFM56-5-A1,56650,2827,7310,210
b37m,CFM56-5-A1,56650,3352,8610,249
b37m,CFM56-5-A1,56650,3878,9890,288
b37m,CFM56-5-A1,56650,4403,11140,328
b37m,CFM56-5-A1,57980,1250,3340,96
b37m,CFM56-5-A1,57980,1776,4710,134
b37m,CFM56-5-A1,57980,2301,6060,173
b37m,CFM56-5-A1,57980,2827,7400,210
b37m,CFM56-5-A1,57980,3352,8710,249
b37m,CFM56-5-A1,57980,3878,10000,288
b37m,CFM56-5-A1,57980,4403,11270,328
b37m,CFM56-5-A1,57980,4929,12610,367
b37m,CFM56-5-A1,59310,1250,3380,96
b37m,CFM56-5-A1,59310,1776,4760,134
b37m,CFM56-5-A1,59310,2301,6130,173
b37m,CFM56-5-A1,59310,2827,7510,211
b37m,CFM56-5-A1,59310,3352,8820,249
b37m,CFM56-5-A1,59310,3878,10120,288
b37m,CFM56-5-A1,59310,4403,11430,327
b37m,CFM56-5-A1,59310,4929,12810,366
b37m,CFM56-5-A1,60630,1250,3420,97
b37m,CFM56-5-A1,60630,1776,4820,135
b37m,CFM56-5-A1,60630,2301,6210,172
b37m,CFM56-5-A1,60630,2827,7620,211
b37m,CFM56-5-A1,60630,3352,8930,249
b37m,CFM56-5-A1,60630,3878,10250,288
b37m,CFM56-5-A1,60630,4403,11610,327
b37m,CFM56-5-A1,60630,4929,13020,366
b37m,CFM56-5-A1,61960,1250,3460,97
b37m,CFM56-5-A1,61960,1776,4880,134
b37m,CFM56-5-A1,61960,2301,6290,172
b37m,CFM56-5-A1,61960,2827,7710,211
b37m,CFM56-5-A1,61960,3352,9040,249
b37m,CFM56-5-A1,61960,3878,10370,288
b37m,CFM56-5-A1,61960,4403,11810,327
b37m,CFM56-5-A1,61960,4929,13250,366
b37m,CFM56-5-A1,63280,1250,3500,95
b37m,CFM56-5-A1,63280,1776,4940,134
b37m,CFM56-5-A1,63280,2301,6380,172
b37m,CFM56-5-A1,63280,2827,7790,210
b37m,CFM56-5-A1,63280,3352,9140,248
b37m,CFM56-5-A1,63280,3878,10540,288
b37m,CFM56-5-A1,63280,4403,12020,327
b37m,CFM56-5-A1,63280,4929,13500,366
b37m,CFM56-5-A1,64610,1776,5000,135
b37m,CFM56-5-A1,64610,2301,6470,172
b37m,CFM56-5-A1,64610,2827,7880,210
b37m,CFM56-5-A1,64610,3352,9240,248
b37m,CFM56-5-A1,64610,3878,10700,288
b37m,CFM56-5-A1,64610,4403,12250,326
b37m,CFM56-5-A1,64610,4929,13770,365
b37m,CFM56-5-A1,65940,2301,6560,171
b37m,CFM56-5-A1,65940,2827,7960,209
b37m,CFM56-5-A1,65940,3352,9330,247
b37m,CFM56-5-A1,65940,3878,10870,287
b37m,CFM56-5-A1,65940,4403,12450,326
b37m,CFM56-5-A1,65940,4929,13980,365
b37m,CFM56-5-A1,67260,2827,8030,209
b37m,CFM56-5-A1,67260,3352,9420,247
b37m,CFM56-5-A1,67260,3878,11040,286
b37m,CFM56-5-A1,67260,4403,12690,325
b37m,CFM56-5-A1,67260,4929,14160,364
b37m,CFM56-5-A1,68590,3352,9510,247
b37m,CFM56-5-A1,68590,3878,11220,286
b37m,CFM56-5-A1,68590,4403,12860,325
b37m,CFM56-5-A1,68590,4929,14340,363
b37m,CFM56-5-A1,69920,3878,11320,285
b37m,CFM56-5-A1,69920,4403,13020,324
b37m,CFM56-5-A1,69920,4929,14540,363
b37m,CFM56-5-A1,71240,4403,13180,323
b37m,CFM56-5-A1,71240,4929,14730,363
b37m,CFM56-5-A1,72570,4929,14910,363
b37m,CFM56-5-A1,73890,4929,15090,362
b37m,CFM56-5A3,54000,725,1930,59
b37m,CFM56-5A3,54000,1250,3280,97
b37m,CFM56-5A3,54000,1776,4620,135
b37m,CFM56-5A3,54000,2301,5940,173
b37m,CFM56-5A3,54000,2827,7240,211
b37m,CFM56-5A3,54000,3352,8530,249
b37m,CFM56-5A3,55330,1250,3320,97
b37m,CFM56-5A3,55330,1776,4670,135
b37m,CFM56-5A3,55330,2301,6010,173
b37m,CFM56-5A3,55330,2827,7320,211
b37m,CFM56-5A3,55330,3352,8630,249
b37m,CFM56-5A3,55330,3878,9920,289
b37m,CFM56-5A3,56650,725,1970,59
b37m,CFM56-5A3,56650,1250,3350,97
b37m,CFM56-5A3,56650,1776,4720,135
b37m,CFM56-5A3,56650,2301,6080,173
b37m,CFM56-5A3,56650,2827,7420,211
b37m,CFM56-5A3,56650,3352,8740,249
b37m,CFM56-5A3,56650,3878,10030,289
b37m,CFM56-5A3,56650,4403,11300,328
b37m,CFM56-5A3,57980,725,1990,58
b37m,CFM56-5A3,57980,1250,3390,97
b37m,CFM56-5A3,57980,1776,4780,134
b37m,CFM56-5A3,57980,2301,6150,173
b37m,CFM56-5A3,57980,2827,7520,211
b37m,CFM56-5A3,57980,3352,8840,249
b37m,CFM56-5A3,57980,3878,10150,288
b37m,CFM56-5A3,57980,4403,11430,328
b37m,CFM56-5A3,57980,4929,12790,367
b37m,CFM56-5A3,59310,1250,3430,96
b37m,CFM56-5A3,59310,1776,4830,134
b37m,CFM56-5A3,59310,2301,6220,173
b37m,CFM56-5A3,59310,2827,7630,211
b37m,CFM56-5A3,59310,3352,8950,249
b37m,CFM56-5A3,59310,3878,10270,289
b37m,CFM56-5A3,59310,4403,11600,328
b37m,CFM56-5A3,59310,4929,12990,367
b37m,CFM56-5A3,60630,1250,3470,96
b37m,CFM56-5A3,60630,1776,4890,135
b37m,CFM56-5A3,60630,2301,6300,173
b37m,CFM56-5A3,60630,2827,7730,211
b37m,CFM56-5A3,60630,3352,9060,249
b37m,CFM56-5A3,60630,3878,10400,289
b37m,CFM56-5A3,60630,4403,11790,328
b37m,CFM56-5A3,60630,4929,13210,367
b37m,CFM56-5A3,61960,1776,4950,134
b37m,CFM56-5A3,61960,2301,6380,172
b37m,CFM56-5A3,61960,2827,7820,211
b37m,CFM56-5A3,61960,3352,9160,249
b37m,CFM56-5A3,61960,3878,10520,288
b37m,CFM56-5A3,61960,4403,11990,327
b37m,CFM56-5A3,61960,4929,13440,366
b37m,CFM56-5A3,63280,1250,3540,96
b37m,CFM56-5A3,63280,1776,5010,135
b37m,CFM56-5A3,63280,2301,6470,172
b37m,CFM56-5A3,63280,2827,7900,210
b37m,CFM56-5A3,63280,3352,9260,248
b37m,CFM56-5A3,63280,3878,10680,288
b37m,CFM56-5A3,63280,4403,12200,327
b37m,CFM56-5A3,63280,4929,13700,366
b37m,CFM56-5A3,64610,1776,5060,134
b37m,CFM56-5A3,64610,2301,6570,172
b37m,CFM56-5A3,64610,2827,7980,210
b37m,CFM56-5A3,64610,3352,9360,248
b37m,CFM56-5A3,64610,3878,10830,288
b37m,CFM56-5A3,64610,4403,12420,326
b37m,CFM56-5A3,64610,4929,13980,365
b37m,CFM56-5A3,65940,2301,6630,171
b37m,CFM56-5A3,65940,2827,8050,209
b37m,CFM56-5A3,65940,3352,9450,247
b37m,CFM56-5A3,65940,3878,11020,287
b37m,CFM56-5A3,65940,4403,12620,326
b37m,CFM56-5A3,65940,4929,14160,365
b37m,CFM56-5A3,67260,2827,8110,208
b37m,CFM56-5A3,67260,3352,9530,247
b37m,CFM56-5A3,67260,3878,11180,286
b37m,CFM56-5A3,67260,4403,12860,325
b37m,CFM56-5A3,67260,4929,14330,364
b37m,CFM56-5A3,68590,3352,9620,246
b37m,CFM56-5A3,68590,3878,11290,285
b37m,CFM56-5A3,68590,4403,13010,324
b37m,CFM56-5A3,68590,4929,14520,364
