ac,eng,mass,distance,fuel
b744,CFM56-5-A1,218880,1591,16590
b744,CFM56-5-A1,218880,2983,30050
b744,CFM56-5-A1,228040,2983,31240
b744,CFM56-5-A1,228040,4375,44610
b744,CFM56-5-A1,237190,2983,31890
b744,CFM56-5-A1,237190,4375,46570
b744,CFM56-5-A1,246350,1591,17710
b744,CFM56-5-A1,246350,2983,33030
b744,CFM56-5-A1,246350,4375,48130
b744,CFM56-5-A1,246350,5766,62080
b744,CFM56-5-A1,255500,1591,18120
b744,CFM56-5-A1,255500,2983,33760
b744,CFM56-5-A1,255500,4375,49110
b744,CFM56-5-A1,255500,5766,64550
b744,CFM56-5-A1,264660,1591,18550
b744,CFM56-5-A1,264660,2983,34530
b744,CFM56-5-A1,264660,4375,50470
b744,CFM56-5-A1,264660,5766,66930
b744,CFM56-5-A1,264660,7158,82030
b744,CFM56-5-A1,273810,1591,19020
b744,CFM56-5-A1,273810,2983,35350
b744,CFM56-5-A1,273810,4375,51060
b744,CFM56-5-A1,273810,5766,69510
b744,CFM56-5-A1,273810,7158,84510
b744,CFM56-5-A1,282970,2983,36230
b744,CFM56-5-A1,282970,4375,52280
b744,CFM56-5-A1,282970,5766,69400
b744,CFM56-5-A1,282970,7158,87070
b744,CFM56-5-A1,282970,8550,96650
b744,CFM56-5-A1,292120,2983,37200
b744,CFM56-5-A1,292120,4375,53600
b744,CFM56-5-A1,292120,5766,74980
b744,CFM56-5-A1,292120,7158,89860
b744,CFM56-5-A1,292120,9941,113810
b744,CFM56-5-A1,301280,4375,55050
b744,CFM56-5-A1,301280,5766,74960
b744,CFM56-5-A1,301280,7158,92120
b744,CFM56-5-A1,301280,9941,117940
b744,CFM56-5-A1,310430,4375,56680
b744,CFM56-5-A1,310430,7158,95480
b744,CFM56-5-A1,310430,9941,121720
b744,CFM56-5-A1,310430,11333,134390
b744,CFM56-5-A1,319590,5766,75280
b744,CFM56-5-A1,319590,7158,98210
b744,CFM56-5-A1,319590,9941,124520
b744,CFM56-5-A1,319590,11333,137720
b744,CFM56-5-A1,328740,5766,77880
b744,CFM56-5-A1,328740,7158,94160
b744,CFM56-5-A1,328740,8550,112940
b744,CFM56-5-A1,328740,9941,127710
b744,CFM56-5-A1,328740,11333,141060
b744,CFM56-5-A1,337900,7158,97610
b744,CFM56-5-A1,337900,8550,115720
b744,CFM56-5-A1,337900,9941,131020
b744,CFM56-5-A1,337900,11333,144500
b744,CFM56-5-A1,337900,12725,157390
b744,CFM56-5-A1,347060,7158,100690
b744,CFM56-5-A1,347060,8550,118600
b744,CFM56-5-A1,347060,9941,134510
b744,CFM56-5-A1,347060,11333,147980
b744,CFM56-5-A1,347060,12725,160810
b744,CFM56-5-A1,356210,8550,121570
b744,CFM56-5-A1,356210,9941,134710
b744,CFM56-5-A1,356210,11333,151180
b744,CFM56-5-A1,356210,12725,164250
b744,CFM56-5-A1,365370,8550,124650
b744,CFM56-5-A1,365370,9941,138020
b744,CFM56-5-A1,365370,11333,153990
b744,CFM56-5-A1,365370,12725,167570
b744,CFM56-5-A1,374520,11333,156870
b744,CFM56-5-A1,374520,12725,171260
b744,CFM56-5-A1,383680,9941,145380
b744,CFM56-5-A1,383680,11333,160140
b744,CFM56-5-A1,383680,12725,174720
b744,CFM56-5-A1,218880,1591,16590
b744,CFM56-5-A1,218880,2983,30050
b744,CFM56-5-A1,228040,2983,31240
b744,CFM56-5-A1,228040,4375,44610
b744,CFM56-5-A1,237190,2983,31890
b744,CFM56-5-A1,237190,4375,46570
b744,CFM56-5-A1,246350,1591,17710
b744,CFM56-5-A1,246350,2983,33030
b744,CFM56-5-A1,246350,4375,48130
b744,CFM56-5-A1,246350,5766,62080
b744,CFM56-5-A1,255500,1591,18120
b744,CFM56-5-A1,255500,2983,33760
b744,CFM56-5-A1,255500,4375,49110
b744,CFM56-5-A1,255500,5766,64550
b744,CFM56-5-A1,264660,1591,18550
b744,CFM56-5-A1,264660,2983,34530
b744,CFM56-5-A1,264660,4375,50470
b744,CFM56-5-A1,264660,5766,66930
b744,CFM56-5-A1,264660,7158,82030
b744,CFM56-5-A1,273810,1591,19020
b744,CFM56-5-A1,273810,2983,35350
b744,CFM56-5-A1,273810,4375,51060
b744,CFM56-5-A1,273810,5766,69510
b744,CFM56-5-A1,273810,7158,84510
b744,CFM56-5-A1,282970,2983,36230
b744,CFM56-5-A1,282970,4375,52280
b744,CFM56-5-A1,282970,5766,69400
b744,CFM56-5-A1,282970,7158,87070
b744,CFM56-5-A1,282970,8550,96650
b744,CFM56-5-A1,292120,2983,37200
b744,CFM56-5-A1,292120,4375,53600
b744,CFM56-5-A1,292120,5766,74980
b744,CFM56-5-A1,292120,7158,89860
b744,CFM56-5-A1,292120,9941,113810
b744,CFM56-5-A1,301280,4375,55050
b744,CFM56-5-A1,301280,5766,74960
b744,CFM56-5-A1,301280,7158,92120
b744,CFM56-5-A1,301280,9941,117940
b744,CFM56-5-A1,310430,4375,56680
b744,CFM56-5-A1,310430,7158,95480
b744,CFM56-5-A1,310430,9941,121720
b744,CFM56-5-A1,310430,11333,134390
b744,CFM56-5-A1,319590,5766,75280
b744,CFM56-5-A1,319590,7158,98210
b744,CFM56-5-A1,319590,9941,124520
b744,CFM56-5-A1,319590,11333,137720
b744,CFM56-5-A1,328740,5766,77880
b744,CFM56-5-A1,328740,7158,94160
b744,CFM56-5-A1,328740,8550,112940
b744,CFM56-5-A1,328740,9941,127710
b744,CFM56-5-A1,328740,11333,141060
b744,CFM56-5-A1,337900,7158,97610
b744,CFM56-5-A1,337900,8550,115720
