ac,eng,mass,distance,fuel,time
b763,CFM56-5-A1,108000,2276,12030,205
b763,CFM56-5-A1,108000,3314,17180,280
b763,CFM56-5-A1,110580,2276,12210,215
b763,CFM56-5-A1,110580,3314,17490,280
b763,CFM56-5-A1,113170,2276,12370,216
b763,CFM56-5-A1,113170,3314,17900,285
b763,CFM56-5-A1,113170,4352,22670,364
b763,CFM56-5-A1,115750,2276,12530,217
b763,CFM56-5-A1,115750,3314,18170,284
b763,CFM56-5-A1,115750,4352,23380,366
b763,CFM56-5-A1,118340,2276,12770,247
b763,CFM56-5-A1,118340,3314,18210,298
b763,CFM56-5-A1,118340,4352,23540,368
b763,CFM56-5-A1,118340,5391,28790,450
b763,CFM56-5-A1,120920,2276,12920,245
b763,CFM56-5-A1,120920,3314,18450,301
b763,CFM56-5-A1,120920,4352,24160,365
b763,CFM56-5-A1,120920,5391,29310,450
b763,CFM56-5-A1,123510,2276,13070,243
b763,CFM56-5-A1,123510,3314,18900,350
b763,CFM56-5-A1,123510,4352,24540,368
b763,CFM56-5-A1,123510,5391,29830,450
b763,CFM56-5-A1,126090,2276,13220,241
b763,CFM56-5-A1,126090,3314,19110,347
b763,CFM56-5-A1,126090,4352,24860,371
b763,CFM56-5-A1,126090,6429,35970,537
b763,CFM56-5-A1,128680,2276,13380,239
b763,CFM56-5-A1,128680,3314,19330,344
b763,CFM56-5-A1,128680,5391,31030,450
b763,CFM56-5-A1,128680,6429,36580,537
b763,CFM56-5-A1,131260,2276,13540,237
b763,CFM56-5-A1,131260,3314,19550,342
b763,CFM56-5-A1,131260,4352,25400,448
b763,CFM56-5-A1,131260,5391,31550,450
b763,CFM56-5-A1,131260,6429,37020,536
b763,CFM56-5-A1,131260,7467,42440,623
b763,CFM56-5-A1,133850,2276,13700,236
b763,CFM56-5-A1,133850,3314,19780,339
b763,CFM56-5-A1,133850,6429,37640,536
b763,CFM56-5-A1,136430,2276,13860,234
b763,CFM56-5-A1,136430,3314,20010,336
b763,CFM56-5-A1,136430,6429,38290,536
b763,CFM56-5-A1,136430,7467,43780,622
b763,CFM56-5-A1,139020,2276,14030,232
b763,CFM56-5-A1,139020,3314,20250,334
b763,CFM56-5-A1,139020,4352,26290,438
b763,CFM56-5-A1,139020,6429,38960,535
b763,CFM56-5-A1,139020,7467,44350,622
b763,CFM56-5-A1,139020,8505,48540,713
b763,CFM56-5-A1,141600,2276,14210,230
b763,CFM56-5-A1,141600,3314,20500,332
b763,CFM56-5-A1,141600,4352,26600,435
b763,CFM56-5-A1,141600,8505,49210,712
b763,CFM56-5-A1,144190,2276,14390,229
b763,CFM56-5-A1,144190,3314,20750,329
b763,CFM56-5-A1,144190,4352,26920,432
b763,CFM56-5-A1,144190,5391,32930,537
