ac,eng,mass,distance,fuel,time
b77w,CFM56-5-A1,201360,1753,17450,208
b77w,CFM56-5-A1,201360,3306,32350,381
b77w,CFM56-5-A1,209080,1753,17950,205
b77w,CFM56-5-A1,209080,3306,33200,376
b77w,CFM56-5-A1,216790,1753,18510,203
b77w,CFM56-5-A1,216790,3306,34200,375
b77w,CFM56-5-A1,216790,4859,49030,550
b77w,CFM56-5-A1,224510,1753,19190,205
b77w,CFM56-5-A1,224510,3306,35580,375
b77w,CFM56-5-A1,201360,1753,17450,208
b77w,CFM56-5-A1,201360,3306,32350,381
b77w,CFM56-5-A1,209080,1753,17950,205
b77w,CFM56-5-A1,209080,3306,33200,376
b77w,CFM56-5-A1,216790,1753,18510,203
b77w,CFM56-5-A1,216790,3306,34200,375
b77w,CFM56-5-A1,216790,4859,49030,550
b77w,CFM56-5-A1,224510,1753,19190,205
b77w,CFM56-5-A1,224510,3306,35580,375
b77w,CFM56-5A3,201360,1753,17490,208
b77w,CFM56-5A3,201360,3306,32400,382
b77w,CFM56-5A3,209080,1753,18050,207
b77w,CFM56-5A3,209080,3306,33420,381
b77w,CFM56-5A3,216790,1753,18770,211
b77w,CFM56-5B4,201360,1753,17210,204
b77w,CFM56-5B4,201360,3306,31780,370
b77w,CFM56-5B4,209080,1753,17750,206
b77w,CFM56-5B4,209080,3306,32790,374
b77w,CFM56-5B4,216790,1753,18500,209
b77w,CFM56-5B5,201360,3306,33680,396
b77w,CFM56-5B6,201360,1753,18320,207
b77w,CFM56-5B6,201360,3306,33840,382
b77w,CFM56-5B6,209080,1753,18930,209
b77w,CFM56-5B6,209080,3306,34990,383
b77w,CFM56-5B6,216790,1753,19830,215
b77w,V2500-A1,201360,1753,18700,205
b77w,V2500-A1,209080,3306,35410,373
b77w,V2500-A1,216790,1753,19770,202
b77w,V2500-A1,216790,3306,36430,373
b77w,V2500-A1,224510,1753,20480,205
b77w,V2500-A1,224510,3306,37850,372
b77w,V2527-A5,201360,1753,18250,204
b77w,V2527-A5,201360,3306,33810,374
b77w,V2527-A5,209080,1753,18730,202
b77w,V2527-A5,209080,3306,34620,372
b77w,V2527-A5,216790,1753,19290,202
b77w,V2527-A5,216790,3306,35650,372
b77w,V2527-A5,224510,1753,20020,206
b77w,V2527E-A5,201360,1753,18050,205
b77w,V2527E-A5,201360,3306,33460,376
b77w,V2527E-A5,209080,3306,34270,372
b77w,V2527E-A5,216790,1753,19070,201
b77w,V2527E-A5,216790,3306,35250,371
b77w,V2527E-A5,224510,1753,19760,204
b77w,V2527E-A5,224510,3306,36610,373
