ac,eng,mass,distance,fuel,time
c550,CFM56-5-A1,4390,478,680,40
c550,CFM56-5-A1,4510,478,680,40
c550,CFM56-5-A1,4640,478,680,40
c550,CFM56-5-A1,4760,478,680,40
c550,CFM56-5-A1,4760,757,1040,63
c550,CFM56-5-A1,4890,478,680,40
c550,CFM56-5-A1,4890,757,1040,63
c550,CFM56-5-A1,5020,478,680,40
c550,CFM56-5-A1,5020,757,1040,63
c550,CFM56-5-A1,5140,478,680,40
c550,CFM56-5-A1,5140,757,1050,63
c550,CFM56-5-A1,5140,1036,1410,87
c550,CFM56-5-A1,5270,478,680,40
c550,CFM56-5-A1,5270,757,1050,63
c550,CFM56-5-A1,5270,1036,1410,87
c550,CFM56-5-A1,5390,478,680,40
c550,CFM56-5-A1,5390,757,1050,63
c550,CFM56-5-A1,5390,1036,1410,87
c550,CFM56-5-A1,5520,478,680,40
c550,CFM56-5-A1,5520,757,1050,63
c550,CFM56-5-A1,5520,1036,1420,87
c550,CFM56-5-A1,5520,1315,1780,111
c550,CFM56-5-A1,5650,478,680,40
c550,CFM56-5-A1,5650,757,1050,63
c550,CFM56-5-A1,5650,1036,1420,87
c550,CFM56-5-A1,5650,1315,1790,111
c550,CFM56-5-A1,5770,478,680,40
c550,CFM56-5-A1,5770,757,1050,63
c550,CFM56-5-A1,5770,1036,1420,87
c550,CFM56-5-A1,5770,1315,1790,111
c550,CFM56-5-A1,5770,1594,2160,135
c550,CFM56-5-A1,5900,478,680,39
c550,CFM56-5-A1,5900,757,1050,63
c550,CFM56-5-A1,5900,1036,1420,87
c550,CFM56-5-A1,5900,1315,1790,111
c550,CFM56-5-A1,5900,1594,2160,135
c550,CFM56-5-A1,6020,478,680,39
c550,CFM56-5-A1,6020,757,1050,63
c550,CFM56-5-A1,6020,1036,1420,87
c550,CFM56-5-A1,6020,1315,1790,111
c550,CFM56-5-A1,6020,1594,2160,135
c550,CFM56-5-A1,6150,478,680,39
c550,CFM56-5-A1,6150,757,1050,63
c550,CFM56-5-A1,6150,1036,1420,87
c550,CFM56-5-A1,6150,1315,1790,111
c550,CFM56-5-A1,6150,1594,2160,135
c550,CFM56-5-A1,6150,1873,2530,159
c550,CFM56-5-A1,6280,478,680,39
c550,CFM56-5-A1,6280,757,1060,63
c550,CFM56-5-A1,6280,1036,1430,87
c550,CFM56-5-A1,6280,1315,1800,111
c550,CFM56-5-A1,6280,1594,2170,135
c550,CFM56-5-A1,6280,1873,2540,159
c550,CFM56-5-A1,6400,478,680,39
