ac,eng,mass,distance,fuel,time
e170,CFM56-5-A1,25370,478,830,39
e170,CFM56-5-A1,25370,757,1290,59
e170,CFM56-5-A1,25370,1036,1740,79
e170,CFM56-5-A1,25370,1315,2190,99
e170,CFM56-5-A1,25370,1594,2640,119
e170,CFM56-5-A1,25370,1873,3090,139
e170,CFM56-5-A1,25370,2152,3530,160
e170,CFM56-5-A1,25370,2431,3970,180
e170,CFM56-5-A1,25810,478,840,39
e170,CFM56-5-A1,25810,757,1290,59
e170,CFM56-5-A1,25810,1036,1750,79
e170,CFM56-5-A1,25810,1315,2200,99
e170,CFM56-5-A1,25810,1594,2650,119
e170,CFM56-5-A1,25810,1873,3100,139
e170,CFM56-5-A1,25810,2152,3550,160
e170,CFM56-5-A1,25810,2431,3990,180
e170,CFM56-5-A1,25810,2710,4420,201
e170,CFM56-5-A1,26260,478,840,39
e170,CFM56-5-A1,26260,757,1300,59
e170,CFM56-5-A1,26260,1036,1750,79
e170,CFM56-5-A1,26260,1315,2210,99
e170,CFM56-5-A1,26260,1594,2660,119
e170,CFM56-5-A1,26260,1873,3110,139
e170,CFM56-5-A1,26260,2152,3560,159
e170,CFM56-5-A1,26260,2431,4000,180
e170,CFM56-5-A1,26260,2710,4440,201
e170,CFM56-5-A1,26710,478,840,39
e170,CFM56-5-A1,26710,757,1300,59
e170,CFM56-5-A1,26710,1036,1760,79
e170,CFM56-5-A1,26710,1315,2220,99
e170,CFM56-5-A1,26710,1594,2670,119
e170,CFM56-5-A1,26710,1873,3130,139
e170,CFM56-5-A1,26710,2152,3580,159
e170,CFM56-5-A1,26710,2431,4020,180
e170,CFM56-5-A1,26710,2710,4460,201
e170,CFM56-5-A1,27160,478,850,39
e170,CFM56-5-A1,27160,757,1310,59
e170,CFM56-5-A1,27160,1036,1770,79
e170,CFM56-5-A1,27160,1315,2230,99
e170,CFM56-5-A1,27160,1594,2690,119
e170,CFM56-5-A1,27160,1873,3140,139
e170,CFM56-5-A1,27160,2152,3590,159
e170,CFM56-5-A1,27160,2431,4040,180
e170,CFM56-5-A1,27160,2710,4480,201
e170,CFM56-5-A1,27600,478,850,39
e170,CFM56-5-A1,27600,757,1310,59
e170,CFM56-5-A1,27600,1036,1780,79
e170,CFM56-5-A1,27600,1315,2240,99
e170,CFM56-5-A1,27600,1594,2700,119
e170,CFM56-5-A1,27600,1873,3150,139
e170,CFM56-5-A1,27600,2152,3610,159
e170,CFM56-5-A1,27600,2431,4060,180
e170,CFM56-5-A1,27600,2710,4500,201
e170,CFM56-5-A1,28050,478,850,38
e170,CFM56-5-A1,28050,757,1320,59
e170,CFM56-5-A1,28050,1036,1780,79
e170,CFM56-5-A1,28050,1315,2250,99
e170,CFM56-5-A1,28050,1594,2710,119
e170,CFM56-5-A1,28050,1873,3170,139
e170,CFM56-5-A1,28050,2152,3620,159
e170,CFM56-5-A1,28050,2431,4080,180
e170,CFM56-5-A1,28050,2710,4520,201
e170,CFM56-5-A1,28500,478,850,38
e170,CFM56-5-A1,28500,757,1320,59
e170,CFM56-5-A1,28500,1036,1790,79
e170,CFM56-5-A1,28500,1315,2260,99
e170,CFM56-5-A1,28500,1594,2720,119
e170,CFM56-5-A1,28500,1873,3180,139
e170,CFM56-5-A1,28500,2152,3640,159
e170,CFM56-5-A1,28500,2431,4100,180
e170,CFM56-5-A1,28500,2710,4540,201
e170,CFM56-5-A1,28940,478,860,38
e170,CFM56-5-A1,28940,757,1330,58
e170,CFM56-5-A1,28940,1036,1800,78
e170,CFM56-5-A1,28940,1315,2270,99
e170,CFM56-5-A1,28940,1594,2730,119
e170,CFM56-5-A1,28940,1873,3200,139
e170,CFM56-5-A1,28940,2152,3660,159
e170,CFM56-5-A1,28940,2431,4120,180
e170,CFM56-5-A1,28940,2710,4570,201
e170,CFM56-5-A1,29390,478,860,38
e170,CFM56-5-A1,29390,757,1330,58
e170,CFM56-5-A1,29390,1036,1810,78
e170,CFM56-5-A1,29390,1315,2280,99
e170,CFM56-5-A1,29390,1594,2750,119
e170,CFM56-5-A1,29390,1873,3210,139
e170,CFM56-5-A1,29390,2152,3680,159
e170,CFM56-5-A1,29390,2431,4140,180
e170,CFM56-5-A1,29390,2710,4590,201
e170,CFM56-5-A1,29840,478,860,38
e170,CFM56-5-A1,29840,757,1340,58
e170,CFM56-5-A1,29840,1036,1810,78
e170,CFM56-5-A1,29840,1315,2290,98
e170,CFM56-5-A1,29840,1594,2760,119
e170,CFM56-5-A1,29840,1873,3230,139
e170,CFM56-5-A1,29840,2152,3690,159
e170,CFM56-5-A1,29840,2431,4160,180
e170,CFM56-5-A1,29840,2710,4610,201
e170,CFM56-5-A1,30280,478,860,37
e170,CFM56-5-A1,30280,757,1340,58
e170,CFM56-5-A1,30280,1315,2300,98
e170,CFM56-5-A1,30280,1594,2770,119
e170,CFM56-5-A1,30280,1873,3240,139
e170,CFM56-5-A1,30280,2152,3710,159
e170,CFM56-5-A1,30280,2431,4180,180
e170,CFM56-5-A1,30280,2710,4630,201
e170,CFM56-5-A1,30730,478,870,37
e170,CFM56-5-A1,30730,757,1350,58
e170,CFM56-5-A1,30730,1036,1830,78
e170,CFM56-5-A1,30730,1315,2310,98
e170,CFM56-5-A1,30730,1594,2790,118
e170,CFM56-5-A1,30730,1873,3260,139
e170,CFM56-5-A1,30730,2152,3730,159
