ac,eng,mass,distance,fuel,time
e75l,CFM56-5-A1,26270,478,840,39
e75l,CFM56-5-A1,26270,757,1300,59
e75l,CFM56-5-A1,26270,1036,1750,79
e75l,CFM56-5-A1,26270,1315,2210,99
e75l,CFM56-5-A1,26270,1594,2660,119
e75l,CFM56-5-A1,26270,1873,3110,139
e75l,CFM56-5-A1,26270,2152,3560,159
e75l,CFM56-5-A1,26270,2431,4000,180
e75l,CFM56-5-A1,26270,2710,4440,201
e75l,CFM56-5-A1,26910,478,840,39
e75l,CFM56-5-A1,26910,757,1300,59
e75l,CFM56-5-A1,26910,1036,1760,79
e75l,CFM56-5-A1,26910,1315,2220,99
e75l,CFM56-5-A1,26910,1594,2680,119
e75l,CFM56-5-A1,26910,1873,3130,139
e75l,CFM56-5-A1,26910,2152,3580,159
e75l,CFM56-5-A1,26910,2431,4030,180
e75l,CFM56-5-A1,26910,2710,4470,201
e75l,CFM56-5-A1,27550,478,850,39
e75l,CFM56-5-A1,27550,757,1310,59
e75l,CFM56-5-A1,27550,1036,1770,79
e75l,CFM56-5-A1,27550,1315,2240,99
e75l,CFM56-5-A1,27550,1594,2700,119
e75l,CFM56-5-A1,27550,1873,3150,139
e75l,CFM56-5-A1,27550,2152,3610,159
e75l,CFM56-5-A1,27550,2431,4060,180
e75l,CFM56-5-A1,27550,2710,4500,201
e75l,CFM56-5-A1,28180,478,850,38
e75l,CFM56-5-A1,28180,757,1320,59
e75l,CFM56-5-A1,28180,1036,1790,79
e75l,CFM56-5-A1,28180,1315,2250,99
e75l,CFM56-5-A1,28180,1594,2710,119
e75l,CFM56-5-A1,28180,1873,3170,139
e75l,CFM56-5-A1,28180,2152,3630,159
e75l,CFM56-5-A1,28180,2431,4080,180
e75l,CFM56-5-A1,28180,2710,4530,201
e75l,CFM56-5-A1,28820,478,860,38
e75l,CFM56-5-A1,28820,757,1330,58
e75l,CFM56-5-A1,28820,1036,1800,79
e75l,CFM56-5-A1,28820,1315,2260,99
e75l,CFM56-5-A1,28820,1594,2730,119
e75l,CFM56-5-A1,28820,1873,3190,139
e75l,CFM56-5-A1,28820,2152,3650,159
e75l,CFM56-5-A1,28820,2431,4110,180
e75l,CFM56-5-A1,28820,2710,4560,201
e75l,CFM56-5-A1,29460,478,860,38
e75l,CFM56-5-A1,29460,757,1330,58
e75l,CFM56-5-A1,29460,1036,1810,78
e75l,CFM56-5-A1,29460,1315,2280,99
e75l,CFM56-5-A1,29460,1594,2750,119
e75l,CFM56-5-A1,29460,1873,3220,139
e75l,CFM56-5-A1,29460,2152,3680,159
e75l,CFM56-5-A1,29460,2431,4140,180
e75l,CFM56-5-A1,29460,2710,4590,201
e75l,CFM56-5-A1,30100,478,860,38
e75l,CFM56-5-A1,30100,757,1340,58
e75l,CFM56-5-A1,30100,1036,1820,78
e75l,CFM56-5-A1,30100,1315,2290,98
e75l,CFM56-5-A1,30100,1594,2770,119
e75l,CFM56-5-A1,30100,1873,3240,139
e75l,CFM56-5-A1,30100,2152,3700,159
e75l,CFM56-5-A1,30100,2431,4170,180
e75l,CFM56-5-A1,30100,2710,4620,201
e75l,CFM56-5-A1,30740,478,870,37
e75l,CFM56-5-A1,30740,757,1350,58
e75l,CFM56-5-A1,30740,1036,1830,78
e75l,CFM56-5-A1,30740,1315,2310,98
e75l,CFM56-5-A1,30740,1594,2790,118
e75l,CFM56-5-A1,30740,1873,3260,139
e75l,CFM56-5-A1,30740,2152,3730,159
e75l,CFM56-5-A1,30740,2431,4200,180
e75l,CFM56-5-A1,30740,2710,4660,201
e75l,CFM56-5-A1,31380,478,870,37
e75l,CFM56-5-A1,31380,757,1360,58
e75l,CFM56-5-A1,31380,1036,1840,78
e75l,CFM56-5-A1,31380,1315,2330,98
e75l,CFM56-5-A1,31380,1594,2810,118
e75l,CFM56-5-A1,31380,1873,3280,139
e75l,CFM56-5-A1,31380,2152,3760,159
e75l,CFM56-5-A1,31380,2431,4230,180
e75l,CFM56-5-A1,31380,2710,4690,201
e75l,CFM56-5-A1,32020,478,880,37
e75l,CFM56-5-A1,32020,757,1370,57
e75l,CFM56-5-A1,32020,1036,1860,78
e75l,CFM56-5-A1,32020,1315,2340,98
e75l,CFM56-5-A1,32020,1594,2830,118
e75l,CFM56-5-A1,32020,1873,3310,139
e75l,CFM56-5-A1,32020,2152,3790,159
e75l,CFM56-5-A1,32020,2431,4260,180
e75l,CFM56-5-A1,32020,2710,4730,201
e75l,CFM56-5-A1,32650,478,880,37
e75l,CFM56-5-A1,32650,757,1380,57
e75l,CFM56-5-A1,32650,1036,1870,78
e75l,CFM56-5-A1,32650,1315,2360,98
e75l,CFM56-5-A1,32650,1594,2860,117
