ac,eng,mass,distance,fuel,time
glf6,CFM56-5-A1,28800,200,380,17
glf6,CFM56-5-A1,28800,478,830,43
glf6,CFM56-5-A1,28800,1036,1670,79
glf6,CFM56-5-A1,28800,1315,2090,97
glf6,CFM56-5-A1,28800,1594,2510,115
glf6,CFM56-5-A1,28800,1873,2940,134
glf6,CFM56-5-A1,28800,2152,3360,151
glf6,CFM56-5-A1,28800,2431,3770,170
glf6,CFM56-5-A1,28800,2710,4180,188
glf6,CFM56-5-A1,29640,200,380,17
glf6,CFM56-5-A1,29640,478,830,42
glf6,CFM56-5-A1,29640,757,1250,60
glf6,CFM56-5-A1,29640,1036,1680,78
glf6,CFM56-5-A1,29640,1315,2110,96
glf6,CFM56-5-A1,29640,1594,2530,115
glf6,CFM56-5-A1,29640,1873,2960,133
glf6,CFM56-5-A1,29640,2152,3390,151
glf6,CFM56-5-A1,29640,2431,3800,170
glf6,CFM56-5-A1,29640,2710,4210,188
glf6,CFM56-5-A1,30480,200,380,17
glf6,CFM56-5-A1,30480,478,830,42
glf6,CFM56-5-A1,30480,757,1260,60
glf6,CFM56-5-A1,30480,1036,1690,78
glf6,CFM56-5-A1,30480,1315,2120,96
glf6,CFM56-5-A1,30480,1594,2560,115
glf6,CFM56-5-A1,30480,1873,2990,133
glf6,CFM56-5-A1,30480,2152,3420,151
glf6,CFM56-5-A1,30480,2431,3840,169
glf6,CFM56-5-A1,30480,2710,4250,188
glf6,CFM56-5-A1,31320,200,380,17
glf6,CFM56-5-A1,31320,478,840,42
glf6,CFM56-5-A1,31320,757,1270,60
glf6,CFM56-5-A1,31320,1036,1710,78
glf6,CFM56-5-A1,31320,1315,2140,96
glf6,CFM56-5-A1,31320,1594,2580,114
glf6,CFM56-5-A1,31320,1873,3010,133
glf6,CFM56-5-A1,31320,2152,3450,150
glf6,CFM56-5-A1,31320,2431,3870,169
glf6,CFM56-5-A1,31320,2710,4290,188
glf6,CFM56-5-A1,32160,200,380,17
glf6,CFM56-5-A1,32160,478,840,42
glf6,CFM56-5-A1,32160,757,1280,60
glf6,CFM56-5-A1,32160,1036,1720,78
glf6,CFM56-5-A1,32160,1315,2160,96
glf6,CFM56-5-A1,32160,1594,2600,114
glf6,CFM56-5-A1,32160,1873,3040,132
glf6,CFM56-5-A1,32160,2152,3480,150
glf6,CFM56-5-A1,32160,2431,3910,169
glf6,CFM56-5-A1,32160,2710,4330,187
glf6,CFM56-5-A1,33000,200,380,17
glf6,CFM56-5-A1,33000,478,850,42
glf6,CFM56-5-A1,33000,757,1290,59
glf6,CFM56-5-A1,33000,1036,1730,78
glf6,CFM56-5-A1,33000,1315,2180,96
glf6,CFM56-5-A1,33000,1594,2620,114
glf6,CFM56-5-A1,33000,1873,3060,132
glf6,CFM56-5-A1,33000,2152,3500,150
glf6,CFM56-5-A1,33000,2431,3940,169
glf6,CFM56-5-A1,33000,2710,4370,187
glf6,CFM56-5-A1,33840,478,850,41
glf6,CFM56-5-A1,33840,757,1300,59
glf6,CFM56-5-A1,33840,1036,1750,77
glf6,CFM56-5-A1,33840,1315,2200,95
glf6,CFM56-5-A1,33840,1594,2640,113
glf6,CFM56-5-A1,33840,1873,3090,132
glf6,CFM56-5-A1,33840,2152,3530,150
glf6,CFM56-5-A1,33840,2431,3980,168
glf6,CFM56-5-A1,33840,2710,4410,187
glf6,CFM56-5-A1,34680,478,860,41
glf6,CFM56-5-A1,34680,757,1310,59
glf6,CFM56-5-A1,34680,1036,1760,77
glf6,CFM56-5-A1,34680,1315,2210,95
glf6,CFM56-5-A1,34680,1594,2670,113
glf6,CFM56-5-A1,34680,1873,3110,131
glf6,CFM56-5-A1,34680,2152,3560,149
glf6,CFM56-5-A1,34680,2431,4010,168
glf6,CFM56-5-A1,34680,2710,4450,187
glf6,CFM56-5-A1,35510,478,860,41
glf6,CFM56-5-A1,35510,757,1320,59
glf6,CFM56-5-A1,35510,1036,1780,77
glf6,CFM56-5-A1,35510,1315,2230,95
glf6,CFM56-5-A1,35510,1873,3140,131
glf6,CFM56-5-A1,35510,2152,3590,149
glf6,CFM56-5-A1,35510,2431,4040,168
glf6,CFM56-5-A1,35510,2710,4490,186
glf6,CFM56-5-A1,36350,478,870,41
glf6,CFM56-5-A1,36350,757,1330,59
glf6,CFM56-5-A1,36350,1036,1790,77
glf6,CFM56-5-A1,36350,1315,2250,95
glf6,CFM56-5-A1,36350,1594,2710,113
glf6,CFM56-5-A1,36350,1873,3170,131
glf6,CFM56-5-A1,36350,2152,3620,149
glf6,CFM56-5-A1,36350,2431,4080,168
glf6,CFM56-5-A1,36350,2710,4520,186
glf6,CFM56-5-A1,37190,478,870,40
glf6,CFM56-5-A1,37190,757,1340,58
glf6,CFM56-5-A1,37190,1036,1800,76
glf6,CFM56-5-A1,37190,1315,2270,95
glf6,CFM56-5-A1,37190,1594,2730,113
glf6,CFM56-5-A1,37190,1873,3190,131
glf6,CFM56-5-A1,37190,2152,3650,149
glf6,CFM56-5-A1,37190,2431,4110,168
glf6,CFM56-5-A1,37190,2710,4570,186
glf6,CFM56-5-A1,38030,478,880,40
glf6,CFM56-5-A1,38030,757,1350,58
glf6,CFM56-5-A1,38030,1036,1820,76
glf6,CFM56-5-A1,38030,1315,2290,95
glf6,CFM56-5-A1,38030,1594,2760,113
glf6,CFM56-5-A1,38030,1873,3220,130
glf6,CFM56-5-A1,38030,2152,3680,149
glf6,CFM56-5-A1,38030,2431,4140,167
glf6,CFM56-5-A1,38030,2710,4610,186
glf6,CFM56-5-A1,38870,757,1360,58
glf6,CFM56-5-A1,38870,1036,1830,76
glf6,CFM56-5-A1,38870,1315,2310,94
glf6,CFM56-5-A1,38870,1594,2780,112
glf6,CFM56-5-A1,38870,1873,3250,130
glf6,CFM56-5-A1,38870,2152,3710,149
glf6,CFM56-5-A1,38870,2431,4180,167
glf6,CFM56-5-A1,38870,2710,4650,186
glf6,CFM56-5-A1,39710,1036,1850,76
glf6,CFM56-5-A1,39710,1315,2320,94
glf6,CFM56-5-A1,39710,1594,2800,112
glf6,CFM56-5-A1,39710,1873,3270,130
glf6,CFM56-5-A1,39710,2152,3740,149
glf6,CFM56-5-A1,39710,2431,4210,167
glf6,CFM56-5-A1,39710,2710,4690,185
glf6,CFM56-5-A1,40550,1594,2820,112
glf6,CFM56-5-A1,40550,1873,3300,130
glf6,CFM56-5-A1,40550,2152,3780,148
glf6,CFM56-5-A1,40550,2431,4250,167
glf6,CFM56-5-A1,40550,2710,4730,185
glf6,CFM56-5-A1,41390,2152,3810,148
glf6,CFM56-5-A1,41390,2431,4290,167
glf6,CFM56-5-A1,41390,2710,4770,185
glf6,CFM56-5-A1,42230,2710,4820,185
glf6,CFM56-5-A1,28800,200,380,17
glf6,CFM56-5-A1,28800,478,830,43
glf6,CFM56-5-A1,28800,1036,1670,79
glf6,CFM56-5-A1,28800,1315,2090,97
glf6,CFM56-5-A1,28800,1594,2510,115
glf6,CFM56-5-A1,28800,1873,2940,134
glf6,CFM56-5-A1,28800,2152,3360,151
glf6,CFM56-5-A1,28800,2431,3770,170
glf6,CFM56-5-A1,28800,2710,4180,188
glf6,CFM56-5-A1,29640,200,380,17
glf6,CFM56-5-A1,29640,478,830,42
glf6,CFM56-5-A1,29640,757,1250,60
glf6,CFM56-5-A1,29640,1036,1680,78
glf6,CFM56-5-A1,29640,1315,2110,96
glf6,CFM56-5-A1,29640,1594,2530,115
glf6,CFM56-5-A1,29640,1873,2960,133
glf6,CFM56-5-A1,29640,2152,3390,151
glf6,CFM56-5-A1,29640,2431,3800,170
glf6,CFM56-5-A1,29640,2710,4210,188
glf6,CFM56-5-A1,30480,200,380,17
glf6,CFM56-5-A1,30480,478,830,42
glf6,CFM56-5-A1,30480,757,1260,60
glf6,CFM56-5-A1,30480,1036,1690,78
glf6,CFM56-5-A1,30480,1315,2120,96
glf6,CFM56-5-A1,30480,1594,2560,115
glf6,CFM56-5-A1,30480,1873,2990,133
glf6,CFM56-5-A1,30480,2152,3420,151
glf6,CFM56-5-A1,30480,2431,3840,169
glf6,CFM56-5-A1,30480,2710,4250,188
glf6,CFM56-5-A1,31320,200,380,17
glf6,CFM56-5-A1,31320,478,840,42
glf6,CFM56-5-A1,31320,757,1270,60
glf6,CFM56-5-A1,31320,1036,1710,78
glf6,CFM56-5-A1,31320,1315,2140,96
glf6,CFM56-5-A1,31320,1594,2580,114
glf6,CFM56-5-A1,31320,1873,3010,133
glf6,CFM56-5-A1,31320,2152,3450,150
glf6,CFM56-5-A1,31320,2431,3870,169
glf6,CFM56-5-A1,31320,2710,4290,188
glf6,CFM56-5-A1,32160,200,380,17
glf6,CFM56-5-A1,32160,478,840,42
glf6,CFM56-5-A1,32160,757,1280,60
glf6,CFM56-5-A1,32160,1036,1720,78
glf6,CFM56-5-A1,32160,1315,2160,96
glf6,CFM56-5-A1,32160,1594,2600,114
glf6,CFM56-5-A1,32160,1873,3040,132
glf6,CFM56-5-A1,32160,2152,3480,150
glf6,CFM56-5-A1,32160,2431,3910,169
glf6,CFM56-5-A1,32160,2710,4330,187
glf6,CFM56-5-A1,33000,200,380,17
glf6,CFM56-5-A1,33000,478,850,42
glf6,CFM56-5-A1,33000,757,1290,59
glf6,CFM56-5-A1,33000,1036,1730,78
glf6,CFM56-5-A1,33000,1315,2180,96
glf6,CFM56-5-A1,33000,1594,2620,114
glf6,CFM56-5-A1,33000,1873,3060,132
glf6,CFM56-5-A1,33000,2152,3500,150
glf6,CFM56-5-A1,33000,2431,3940,169
glf6,CFM56-5-A1,33000,2710,4370,187
glf6,CFM56-5-A1,33840,478,850,41
glf6,CFM56-5-A1,33840,757,1300,59
glf6,CFM56-5-A1,33840,1036,1750,77
glf6,CFM56-5-A1,33840,1315,2200,95
glf6,CFM56-5-A1,33840,1594,2640,113
glf6,CFM56-5-A1,33840,1873,3090,132
glf6,CFM56-5-A1,33840,2152,3530,150
glf6,CFM56-5-A1,33840,2431,3980,168
glf6,CFM56-5-A1,33840,2710,4410,187
glf6,CFM56-5-A1,34680,478,860,41
glf6,CFM56-5-A1,34680,757,1310,59
glf6,CFM56-5-A1,34680,1036,1760,77
glf6,CFM56-5-A1,34680,1315,2210,95
glf6,CFM56-5-A1,34680,1594,2670,113
glf6,CFM56-5-A1,34680,1873,3110,131
glf6,CFM56-5-A1,34680,2152,3560,149
glf6,CFM56-5-A1,34680,2431,4010,168
glf6,CFM56-5-A1,34680,2710,4450,187
glf6,CFM56-5-A1,35510,478,860,41
glf6,CFM56-5-A1,35510,757,1320,59
glf6,CFM56-5-A1,35510,1036,1780,77
glf6,CFM56-5-A1,35510,1315,2230,95
glf6,CFM56-5-A1,35510,1873,3140,131
glf6,CFM56-5-A1,35510,2152,3590,149
glf6,CFM56-5-A1,35510,2431,4040,168
glf6,CFM56-5-A1,35510,2710,4490,186
glf6,CFM56-5-A1,36350,478,870,41
glf6,CFM56-5-A1,36350,757,1330,59
glf6,CFM56-5-A1,36350,1036,1790,77
glf6,CFM56-5-A1,36350,1315,2250,95
glf6,CFM56-5-A1,36350,1594,2710,113
glf6,CFM56-5-A1,36350,1873,3170,131
glf6,CFM56-5-A1,36350,2152,3620,149
glf6,CFM56-5-A1,36350,2431,4080,168
glf6,CFM56-5-A1,36350,2710,4520,186
glf6,CFM56-5-A1,37190,478,870,40
glf6,CFM56-5-A1,37190,757,1340,58
glf6,CFM56-5-A1,37190,1036,1800,76
glf6,CFM56-5-A1,37190,1315,2270,95
glf6,CFM56-5-A1,37190,1594,2730,113
glf6,CFM56-5-A1,37190,1873,3190,131
glf6,CFM56-5-A1,37190,2152,3650,149
glf6,CFM56-5-A1,37190,2431,4110,168
glf6,CFM56-5-A1,37190,2710,4570,186
glf6,CFM56-5-A1,38030,478,880,40
glf6,CFM56-5-A1,38030,757,1350,58
glf6,CFM56-5-A1,38030,1036,1820,76
glf6,CFM56-5-A1,38030,1315,2290,95
glf6,CFM56-5-A1,38030,1594,2760,113
glf6,CFM56-5-A1,38030,1873,3220,130
glf6,CFM56-5-A1,38030,2152,3680,149
glf6,CFM56-5-A1,38030,2431,4140,167
glf6,CFM56-5-A1,38030,2710,4610,186
glf6,CFM56-5-A1,38870,757,1360,58
glf6,CFM56-5-A1,38870,1036,1830,76
glf6,CFM56-5-A1,38870,1315,2310,94
glf6,CFM56-5-A1,38870,1594,2780,112
glf6,CFM56-5-A1,38870,1873,3250,130
glf6,CFM56-5-A1,38870,2152,3710,149
glf6,CFM56-5-A1,38870,2431,4180,167
glf6,CFM56-5-A1,38870,2710,4650,186
glf6,CFM56-5-A1,39710,1036,1850,76
glf6,CFM56-5-A1,39710,1315,2320,94
glf6,CFM56-5-A1,39710,1594,2800,112
glf6,CFM56-5-A1,39710,1873,3270,130
glf6,CFM56-5-A1,39710,2152,3740,149
glf6,CFM56-5-A1,39710,2431,4210,167
glf6,CFM56-5-A1,39710,2710,4690,185
glf6,CFM56-5-A1,40550,1594,2820,112
glf6,CFM56-5-A1,40550,1873,3300,130
glf6,CFM56-5-A1,40550,2152,3780,148
glf6,CFM56-5-A1,40550,2431,4250,167
glf6,CFM56-5-A1,40550,2710,4730,185
glf6,CFM56-5-A1,41390,2152,3810,148
glf6,CFM56-5-A1,41390,2431,4290,167
glf6,CFM56-5-A1,41390,2710,4770,185
glf6,CFM56-5-A1,42230,2710,4820,185
glf6,CFM56-5A3,28800,200,380,17
glf6,CFM56-5A3,28800,478,840,43
glf6,CFM56-5A3,28800,757,1270,61
glf6,CFM56-5A3,28800,1036,1700,79
glf6,CFM56-5A3,28800,1315,2130,97
glf6,CFM56-5A3,28800,1594,2560,115
glf6,CFM56-5A3,28800,1873,2990,134
glf6,CFM56-5A3,28800,2152,3420,151
glf6,CFM56-5A3,28800,2431,3840,170
glf6,CFM56-5A3,28800,2710,4260,189
glf6,CFM56-5A3,29640,200,380,17
glf6,CFM56-5A3,29640,478,840,42
glf6,CFM56-5A3,29640,757,1280,60
glf6,CFM56-5A3,29640,1036,1710,78
glf6,CFM56-5A3,29640,1315,2150,97
glf6,CFM56-5A3,29640,1594,2580,115
glf6,CFM56-5A3,29640,1873,3020,133
glf6,CFM56-5A3,29640,2152,3450,151
glf6,CFM56-5A3,29640,2431,3880,170
glf6,CFM56-5A3,29640,2710,4300,188
glf6,CFM56-5A3,30480,200,390,17
glf6,CFM56-5A3,30480,478,850,42
glf6,CFM56-5A3,30480,757,1290,60
glf6,CFM56-5A3,30480,1036,1730,78
glf6,CFM56-5A3,30480,1315,2170,96
glf6,CFM56-5A3,30480,1594,2610,115
glf6,CFM56-5A3,30480,1873,3050,133
glf6,CFM56-5A3,30480,2152,3480,151
glf6,CFM56-5A3,30480,2431,3920,170
glf6,CFM56-5A3,30480,2710,4330,188
glf6,CFM56-5A3,31320,200,390,17
glf6,CFM56-5A3,31320,478,850,42
glf6,CFM56-5A3,31320,757,1300,60
glf6,CFM56-5A3,31320,1036,1740,78
glf6,CFM56-5A3,31320,1315,2180,96
glf6,CFM56-5A3,31320,1594,2630,114
glf6,CFM56-5A3,31320,1873,3070,133
glf6,CFM56-5A3,31320,2152,3510,150
glf6,CFM56-5A3,31320,2431,3950,169
glf6,CFM56-5A3,31320,2710,4370,188
glf6,CFM56-5A3,32160,478,860,42
glf6,CFM56-5A3,32160,757,1300,60
glf6,CFM56-5A3,32160,1036,1750,78
glf6,CFM56-5A3,32160,1315,2200,96
glf6,CFM56-5A3,32160,1594,2650,114
glf6,CFM56-5A3,32160,1873,3100,132
glf6,CFM56-5A3,32160,2152,3540,150
glf6,CFM56-5A3,32160,2431,3980,169
glf6,CFM56-5A3,32160,2710,4410,188
glf6,CFM56-5A3,33000,200,390,17
glf6,CFM56-5A3,33000,478,860,41
glf6,CFM56-5A3,33000,757,1310,59
glf6,CFM56-5A3,33000,1036,1770,78
glf6,CFM56-5A3,33000,1315,2220,96
glf6,CFM56-5A3,33000,1594,2670,114
glf6,CFM56-5A3,33000,1873,3120,132
glf6,CFM56-5A3,33000,2152,3570,150
glf6,CFM56-5A3,33000,2431,4020,169
glf6,CFM56-5A3,33000,2710,4450,187
glf6,CFM56-5A3,33840,478,870,41
glf6,CFM56-5A3,33840,757,1320,59
glf6,CFM56-5A3,33840,1036,1780,77
glf6,CFM56-5A3,33840,1315,2240,95
glf6,CFM56-5A3,33840,1594,2690,114
glf6,CFM56-5A3,33840,1873,3150,132
glf6,CFM56-5A3,33840,2152,3600,150
glf6,CFM56-5A3,33840,2431,4050,169
glf6,CFM56-5A3,33840,2710,4490,187
glf6,CFM56-5A3,34680,478,870,41
glf6,CFM56-5A3,34680,757,1330,59
glf6,CFM56-5A3,34680,1036,1800,77
glf6,CFM56-5A3,34680,1315,2260,95
glf6,CFM56-5A3,34680,1594,2720,113
glf6,CFM56-5A3,34680,1873,3170,131
glf6,CFM56-5A3,34680,2152,3630,150
glf6,CFM56-5A3,34680,2431,4090,168
glf6,CFM56-5A3,34680,2710,4530,187
glf6,CFM56-5A3,35510,478,880,41
glf6,CFM56-5A3,35510,757,1340,59
glf6,CFM56-5A3,35510,1036,1810,77
glf6,CFM56-5A3,35510,1315,2270,95
glf6,CFM56-5A3,35510,1594,2740,113
glf6,CFM56-5A3,35510,1873,3200,131
glf6,CFM56-5A3,35510,2152,3660,150
glf6,CFM56-5A3,35510,2431,4120,168
glf6,CFM56-5A3,35510,2710,4570,187
glf6,CFM56-5A3,36350,478,880,40
glf6,CFM56-5A3,36350,757,1350,59
glf6,CFM56-5A3,36350,1036,1820,77
glf6,CFM56-5A3,36350,1315,2290,95
glf6,CFM56-5A3,36350,1594,2760,113
glf6,CFM56-5A3,36350,1873,3230,131
glf6,CFM56-5A3,36350,2152,3690,150
glf6,CFM56-5A3,36350,2431,4150,168
glf6,CFM56-5A3,36350,2710,4610,186
glf6,CFM56-5A3,37190,478,890,40
glf6,CFM56-5A3,37190,757,1360,58
glf6,CFM56-5A3,37190,1036,1840,77
glf6,CFM56-5A3,37190,1315,2310,94
glf6,CFM56-5A3,37190,1594,2790,113
glf6,CFM56-5A3,37190,1873,3250,131
glf6,CFM56-5A3,37190,2152,3720,149
glf6,CFM56-5A3,37190,2431,4190,168
glf6,CFM56-5A3,37190,2710,4650,186
glf6,CFM56-5A3,38030,478,890,40
glf6,CFM56-5A3,38030,757,1370,58
glf6,CFM56-5A3,38030,1036,1850,76
glf6,CFM56-5A3,38030,1315,2330,95
glf6,CFM56-5A3,38030,1594,2810,113
glf6,CFM56-5A3,38030,1873,3280,131
glf6,CFM56-5A3,38030,2152,3750,149
glf6,CFM56-5A3,38030,2431,4220,168
glf6,CFM56-5A3,38030,2710,4690,186
glf6,CFM56-5A3,38870,757,1380,58
glf6,CFM56-5A3,38870,1594,2830,112
glf6,CFM56-5A3,38870,1873,3310,130
glf6,CFM56-5A3,38870,2152,3780,149
glf6,CFM56-5A3,38870,2431,4260,167
glf6,CFM56-5A3,38870,2710,4730,186
glf6,CFM56-5A3,39710,1036,1880,76
glf6,CFM56-5A3,39710,1315,2370,94
glf6,CFM56-5A3,39710,1594,2850,112
glf6,CFM56-5A3,39710,1873,3330,130
glf6,CFM56-5A3,39710,2152,3810,149
glf6,CFM56-5A3,39710,2431,4290,167
glf6,CFM56-5A3,39710,2710,4780,186
glf6,CFM56-5A3,40550,1594,2880,112
glf6,CFM56-5A3,40550,1873,3360,130
glf6,CFM56-5A3,40550,2152,3850,149
glf6,CFM56-5A3,40550,2431,4330,167
glf6,CFM56-5A3,40550,2710,4820,185
glf6,CFM56-5A3,41390,2152,3880,148
glf6,CFM56-5A3,41390,2431,4370,167
glf6,CFM56-5A3,41390,2710,4870,185
glf6,CFM56-5A3,42230,2431,4410,167
glf6,CFM56-5A3,42230,2710,4910,185
glf6,CFM56-5B4,28800,200,390,17
glf6,CFM56-5B4,28800,478,850,42
glf6,CFM56-5B4,28800,757,1260,59
glf6,CFM56-5B4,28800,1036,1670,77
glf6,CFM56-5B4,28800,1315,2090,95
glf6,CFM56-5B4,28800,1594,2500,114
glf6,CFM56-5B4,28800,1873,2910,132
glf6,CFM56-5B4,28800,2152,3320,150
glf6,CFM56-5B4,28800,2431,3730,168
glf6,CFM56-5B4,28800,2710,4140,187
glf6,CFM56-5B4,29640,200,390,17
glf6,CFM56-5B4,29640,478,850,41
glf6,CFM56-5B4,29640,757,1260,59
glf6,CFM56-5B4,29640,1036,1680,77
glf6,CFM56-5B4,29640,1315,2100,95
glf6,CFM56-5B4,29640,1594,2520,114
glf6,CFM56-5B4,29640,1873,2940,131
glf6,CFM56-5B4,29640,2152,3350,150
glf6,CFM56-5B4,29640,2431,3760,168
glf6,CFM56-5B4,29640,2710,4170,187
glf6,CFM56-5B4,30480,200,390,17
glf6,CFM56-5B4,30480,478,850,41
glf6,CFM56-5B4,30480,757,1270,59
glf6,CFM56-5B4,30480,1036,1700,77
glf6,CFM56-5B4,30480,1315,2120,95
glf6,CFM56-5B4,30480,1594,2540,113
glf6,CFM56-5B4,30480,1873,2960,131
glf6,CFM56-5B4,30480,2152,3380,150
glf6,CFM56-5B4,30480,2431,3800,168
glf6,CFM56-5B4,30480,2710,4210,186
glf6,CFM56-5B4,31320,200,390,17
glf6,CFM56-5B4,31320,478,860,41
glf6,CFM56-5B4,31320,757,1280,59
glf6,CFM56-5B4,31320,1036,1710,77
glf6,CFM56-5B4,31320,1315,2130,95
glf6,CFM56-5B4,31320,1594,2560,113
glf6,CFM56-5B4,31320,1873,2980,131
glf6,CFM56-5B4,31320,2152,3410,150
glf6,CFM56-5B4,31320,2431,3830,168
glf6,CFM56-5B4,31320,2710,4240,186
glf6,CFM56-5B4,32160,200,400,16
glf6,CFM56-5B4,32160,478,860,41
glf6,CFM56-5B4,32160,757,1290,59
glf6,CFM56-5B4,32160,1036,1720,77
glf6,CFM56-5B4,32160,1315,2150,95
glf6,CFM56-5B4,32160,1594,2580,113
glf6,CFM56-5B4,32160,1873,3010,131
glf6,CFM56-5B4,32160,2152,3440,149
glf6,CFM56-5B4,32160,2431,3860,168
glf6,CFM56-5B4,32160,2710,4280,186
glf6,CFM56-5B4,33000,200,400,16
glf6,CFM56-5B4,33000,478,860,40
glf6,CFM56-5B4,33000,757,1300,58
glf6,CFM56-5B4,33000,1036,1730,76
glf6,CFM56-5B4,33000,1315,2170,95
glf6,CFM56-5B4,33000,1594,2600,112
glf6,CFM56-5B4,33000,1873,3030,130
glf6,CFM56-5B4,33000,2152,3460,149
glf6,CFM56-5B4,33000,2431,3890,168
glf6,CFM56-5B4,33000,2710,4320,186
glf6,CFM56-5B4,33840,200,400,16
glf6,CFM56-5B4,33840,478,870,40
glf6,CFM56-5B4,33840,757,1310,58
glf6,CFM56-5B4,33840,1036,1740,76
glf6,CFM56-5B4,33840,1315,2180,94
glf6,CFM56-5B4,33840,1594,2620,112
glf6,CFM56-5B4,33840,1873,3060,130
glf6,CFM56-5B4,33840,2152,3490,149
glf6,CFM56-5B4,33840,2431,3930,167
glf6,CFM56-5B4,33840,2710,4360,186
glf6,CFM56-5B4,34680,200,400,16
glf6,CFM56-5B4,34680,478,870,40
glf6,CFM56-5B4,34680,757,1310,58
glf6,CFM56-5B4,34680,1036,1760,76
glf6,CFM56-5B4,34680,1315,2200,94
glf6,CFM56-5B4,34680,1594,2640,112
glf6,CFM56-5B4,34680,1873,3080,130
glf6,CFM56-5B4,34680,2152,3520,149
glf6,CFM56-5B4,34680,2431,3960,167
glf6,CFM56-5B4,34680,2710,4400,186
glf6,CFM56-5B4,35510,200,400,16
glf6,CFM56-5B4,35510,478,880,40
glf6,CFM56-5B4,35510,757,1320,58
glf6,CFM56-5B4,35510,1036,1770,76
glf6,CFM56-5B4,35510,1315,2220,94
glf6,CFM56-5B4,35510,1594,2660,112
glf6,CFM56-5B4,35510,1873,3110,130
glf6,CFM56-5B4,35510,2152,3550,149
glf6,CFM56-5B4,35510,2431,3990,167
glf6,CFM56-5B4,35510,2710,4440,185
glf6,CFM56-5B4,36350,200,400,16
glf6,CFM56-5B4,36350,478,880,39
glf6,CFM56-5B4,36350,757,1330,57
glf6,CFM56-5B4,36350,1036,1780,75
glf6,CFM56-5B4,36350,1315,2230,94
glf6,CFM56-5B4,36350,1594,2680,112
glf6,CFM56-5B4,36350,1873,3130,130
glf6,CFM56-5B4,36350,2152,3580,148
glf6,CFM56-5B4,36350,2431,4030,167
glf6,CFM56-5B4,36350,2710,4480,185
glf6,CFM56-5B4,37190,200,400,16
glf6,CFM56-5B4,37190,478,890,39
glf6,CFM56-5B4,37190,757,1340,57
glf6,CFM56-5B4,37190,1036,1800,75
glf6,CFM56-5B4,37190,1315,2250,93
glf6,CFM56-5B4,37190,1594,2700,111
glf6,CFM56-5B4,37190,1873,3160,130
glf6,CFM56-5B4,37190,2152,3610,148
glf6,CFM56-5B4,37190,2431,4060,167
glf6,CFM56-5B4,37190,2710,4520,185
glf6,CFM56-5B4,38030,200,400,16
glf6,CFM56-5B4,38030,478,890,39
glf6,CFM56-5B4,38030,757,1350,57
glf6,CFM56-5B4,38030,1036,1810,75
glf6,CFM56-5B4,38030,1315,2270,93
glf6,CFM56-5B4,38030,1594,2730,111
glf6,CFM56-5B4,38030,1873,3180,130
glf6,CFM56-5B4,38030,2152,3640,148
